Lineage	Alias	VOCGroup
*A.10	*A.10	Other
*A.13	*A.13	Other
*A.14	*A.14	Other
*A.2.1	*A.2.1	Other
*A.20	*A.20	Other
*A.8	*A.8	Other
*AY.115	*AY.115	Other
*AY.12	*AY.12	Other
*AY.39.4	*AY.39.4	Other
*AY.75.1	*AY.75.1	Other
*AY.89	*AY.89	Other
*AY.9.1	*AY.9.1	Other
*AY.96	*AY.96	Other
*AY.97	*AY.97	Other
*B.1.1.102	*B.1.1.102	Other
*B.1.1.103	*B.1.1.103	Other
*B.1.1.104	*B.1.1.104	Other
*B.1.1.105	*B.1.1.105	Other
*B.1.1.106	*B.1.1.106	Other
*B.1.1.108	*B.1.1.108	Other
*B.1.1.124	*B.1.1.124	Other
*B.1.1.126	*B.1.1.126	Other
*B.1.1.131	*B.1.1.131	Other
*B.1.1.140	*B.1.1.140	Other
*B.1.1.143	*B.1.1.143	Other
*B.1.1.146	*B.1.1.146	Other
*B.1.1.150	*B.1.1.150	Other
*B.1.1.151	*B.1.1.151	Other
*B.1.1.156	*B.1.1.156	Other
*B.1.1.167	*B.1.1.167	Other
*B.1.1.173	*B.1.1.173	Other
*B.1.1.179	*B.1.1.179	Other
*B.1.1.183	*B.1.1.183	Other
*B.1.1.195	*B.1.1.195	Other
*B.1.1.199	*B.1.1.199	Other
*B.1.1.2	*B.1.1.2	Other
*B.1.1.20	*B.1.1.20	Other
*B.1.1.206	*B.1.1.206	Other
*B.1.1.211	*B.1.1.211	Other
*B.1.1.212	*B.1.1.212	Other
*B.1.1.215	*B.1.1.215	Other
*B.1.1.223	*B.1.1.223	Other
*B.1.1.233	*B.1.1.233	Other
*B.1.1.235	*B.1.1.235	Other
*B.1.1.238	*B.1.1.238	Other
*B.1.1.245	*B.1.1.245	Other
*B.1.1.246	*B.1.1.246	Other
*B.1.1.247	*B.1.1.247	Other
*B.1.1.248	*B.1.1.248	Other
*B.1.1.250	*B.1.1.250	Other
*B.1.1.252	*B.1.1.252	Other
*B.1.1.259	*B.1.1.259	Other
*B.1.1.260	*B.1.1.260	Other
*B.1.1.264	*B.1.1.264	Other
*B.1.1.276	*B.1.1.276	Other
*B.1.1.278	*B.1.1.278	Other
*B.1.1.281	*B.1.1.281	Other
*B.1.1.287	*B.1.1.287	Other
*B.1.1.292	*B.1.1.292	Other
*B.1.1.293	*B.1.1.293	Other
*B.1.1.295	*B.1.1.295	Other
*B.1.1.313	*B.1.1.313	Other
*B.1.1.314	*B.1.1.314	Other
*B.1.1.32	*B.1.1.32	Other
*B.1.1.35	*B.1.1.35	Other
*B.1.1.36	*B.1.1.36	Other
*B.1.1.439	*B.1.1.439	Other
*B.1.1.527	*B.1.1.527	Other
*B.1.1.6	*B.1.1.6	Other
*B.1.1.60	*B.1.1.60	Other
*B.1.1.64	*B.1.1.64	Other
*B.1.1.65	*B.1.1.65	Other
*B.1.1.66	*B.1.1.66	Other
*B.1.1.73	*B.1.1.73	Other
*B.1.1.76	*B.1.1.76	Other
*B.1.1.78	*B.1.1.78	Other
*B.1.1.79	*B.1.1.79	Other
*B.1.1.80	*B.1.1.80	Other
*B.1.1.81	*B.1.1.81	Other
*B.1.1.85	*B.1.1.85	Other
*B.1.1.94	*B.1.1.94	Other
*B.1.1.96	*B.1.1.96	Other
*B.1.102	*B.1.102	Other
*B.1.107	*B.1.107	Other
*B.1.109	*B.1.109	Other
*B.1.11	*B.1.11	Other
*B.1.114	*B.1.114	Other
*B.1.133	*B.1.133	Other
*B.1.135	*B.1.135	Other
*B.1.136	*B.1.136	Other
*B.1.138	*B.1.138	Other
*B.1.141	*B.1.141	Other
*B.1.144	*B.1.144	Other
*B.1.150	*B.1.150	Other
*B.1.152	*B.1.152	Other
*B.1.154	*B.1.154	Other
*B.1.156	*B.1.156	Other
*B.1.160.1	*B.1.160.1	Other
*B.1.160.2	*B.1.160.2	Other
*B.1.160.3	*B.1.160.3	Other
*B.1.160.4	*B.1.160.4	Other
*B.1.160.5	*B.1.160.5	Other
*B.1.160.6	*B.1.160.6	Other
*B.1.177.1	*B.1.177.1	Other
*B.1.177.13	*B.1.177.13	Other
*B.1.177.22	*B.1.177.22	Other
*B.1.177.79	*B.1.177.79	Other
*B.1.183	*B.1.183	Other
*B.1.185	*B.1.185	Other
*B.1.186	*B.1.186	Other
*B.1.19	*B.1.19	Other
*B.1.191	*B.1.191	Other
*B.1.193	*B.1.193	Other
*B.1.196	*B.1.196	Other
*B.1.197	*B.1.197	Other
*B.1.200	*B.1.200	Other
*B.1.202	*B.1.202	Other
*B.1.204	*B.1.204	Other
*B.1.207	*B.1.207	Other
*B.1.209	*B.1.209	Other
*B.1.21	*B.1.21	Other
*B.1.216	*B.1.216	Other
*B.1.217	*B.1.217	Other
*B.1.226	*B.1.226	Other
*B.1.228	*B.1.228	Other
*B.1.230	*B.1.230	Other
*B.1.244	*B.1.244	Other
*B.1.246	*B.1.246	Other
*B.1.25	*B.1.25	Other
*B.1.253	*B.1.253	Other
*B.1.255	*B.1.255	Other
*B.1.257	*B.1.257	Other
*B.1.258.1	*B.1.258.1	Other
*B.1.258.13	*B.1.258.13	Other
*B.1.258.8	*B.1.258.8	Other
*B.1.259	*B.1.259	Other
*B.1.26	*B.1.26	Other
*B.1.261	*B.1.261	Other
*B.1.262	*B.1.262	Other
*B.1.266	*B.1.266	Other
*B.1.269	*B.1.269	Other
*B.1.271	*B.1.271	Other
*B.1.272	*B.1.272	Other
*B.1.275	*B.1.275	Other
*B.1.278	*B.1.278	Other
*B.1.283	*B.1.283	Other
*B.1.286	*B.1.286	Other
*B.1.288	*B.1.288	Other
*B.1.290	*B.1.290	Other
*B.1.295	*B.1.295	Other
*B.1.296	*B.1.296	Other
*B.1.297	*B.1.297	Other
*B.1.297.1	*B.1.297.1	Other
*B.1.299	*B.1.299	Other
*B.1.3.1	*B.1.3.1	Other
*B.1.3.2	*B.1.3.2	Other
*B.1.3.3	*B.1.3.3	Other
*B.1.3.4	*B.1.3.4	Other
*B.1.300	*B.1.300	Other
*B.1.303	*B.1.303	Other
*B.1.307	*B.1.307	Other
*B.1.312	*B.1.312	Other
*B.1.317	*B.1.317	Other
*B.1.322	*B.1.322	Other
*B.1.327	*B.1.327	Other
*B.1.331	*B.1.331	Other
*B.1.333.1	*B.1.333.1	Other
*B.1.339	*B.1.339	Other
*B.1.34	*B.1.34	Other
*B.1.345	*B.1.345	Other
*B.1.347	*B.1.347	Other
*B.1.351.4	*B.1.351.4	Other
*B.1.352	*B.1.352	Other
*B.1.353	*B.1.353	Other
*B.1.36.11	*B.1.36.11	Other
*B.1.36.13	*B.1.36.13	Other
*B.1.36.14	*B.1.36.14	Other
*B.1.36.15	*B.1.36.15	Other
*B.1.36.3	*B.1.36.3	Other
*B.1.36.4	*B.1.36.4	Other
*B.1.36.5	*B.1.36.5	Other
*B.1.36.6	*B.1.36.6	Other
*B.1.364	*B.1.364	Other
*B.1.365	*B.1.365	Other
*B.1.368	*B.1.368	Other
*B.1.373	*B.1.373	Other
*B.1.374	*B.1.374	Other
*B.1.374.1	*B.1.374.1	Other
*B.1.376	*B.1.376	Other
*B.1.386	*B.1.386	Other
*B.1.392	*B.1.392	Other
*B.1.394	*B.1.394	Other
*B.1.410	*B.1.410	Other
*B.1.412	*B.1.412	Other
*B.1.414	*B.1.414	Other
*B.1.419	*B.1.419	Other
*B.1.440	*B.1.440	Other
*B.1.447	*B.1.447	Other
*B.1.449	*B.1.449	Other
*B.1.454	*B.1.454	Other
*B.1.455	*B.1.455	Other
*B.1.457	*B.1.457	Other
*B.1.457.1	*B.1.457.1	Other
*B.1.461	*B.1.461	Other
*B.1.464	*B.1.464	Other
*B.1.472	*B.1.472	Other
*B.1.477	*B.1.477	Other
*B.1.481	*B.1.481	Other
*B.1.484	*B.1.484	Other
*B.1.5	*B.1.5	Other
*B.1.5.11	*B.1.5.11	Other
*B.1.5.12	*B.1.5.12	Other
*B.1.5.13	*B.1.5.13	Other
*B.1.5.15	*B.1.5.15	Other
*B.1.5.16	*B.1.5.16	Other
*B.1.5.17	*B.1.5.17	Other
*B.1.5.18	*B.1.5.18	Other
*B.1.5.19	*B.1.5.19	Other
*B.1.5.2	*B.1.5.2	Other
*B.1.5.21	*B.1.5.21	Other
*B.1.5.25	*B.1.5.25	Other
*B.1.5.26	*B.1.5.26	Other
*B.1.5.27	*B.1.5.27	Other
*B.1.5.28	*B.1.5.28	Other
*B.1.5.29	*B.1.5.29	Other
*B.1.5.30	*B.1.5.30	Other
*B.1.5.31	*B.1.5.31	Other
*B.1.5.32	*B.1.5.32	Other
*B.1.5.33	*B.1.5.33	Other
*B.1.5.34	*B.1.5.34	Other
*B.1.5.35	*B.1.5.35	Other
*B.1.5.36	*B.1.5.36	Other
*B.1.5.5	*B.1.5.5	Other
*B.1.5.6	*B.1.5.6	Other
*B.1.512	*B.1.512	Other
*B.1.514	*B.1.514	Other
*B.1.519	*B.1.519	Other
*B.1.526.1	*B.1.526.1	Other
*B.1.526.2	*B.1.526.2	Other
*B.1.526.3	*B.1.526.3	Other
*B.1.624	*B.1.624	Other
*B.1.628	*B.1.628	Other
*B.1.74	*B.1.74	Other
*B.1.75	*B.1.75	Other
*B.1.79	*B.1.79	Other
*B.1.8.2	*B.1.8.2	Other
*B.1.80	*B.1.80	Other
*B.1.82	*B.1.82	Other
*B.1.88	*B.1.88	Other
*B.1.89	*B.1.89	Other
*B.1.9.6	*B.1.9.6	Other
*B.1.90	*B.1.90	Other
*B.1.95	*B.1.95	Other
*B.1.98	*B.1.98	Other
*B.14	*B.14	Other
*B.2.1	*B.2.1	Other
*B.2.10	*B.2.10	Other
*B.2.11	*B.2.11	Other
*B.2.12	*B.2.12	Other
*B.2.6	*B.2.6	Other
*B.48	*B.48	Other
*B.54	*B.54	Other
*B.59	*B.59	Other
*B.6.7	*B.6.7	Other
*BA.1.11	*BA.1.11	Other
*BA.2.3.3	*BA.2.3.3	Other
*BA.2.36.1	*BA.2.36.1	Other
*BA.2.84	*BA.2.84	Other
*BA.5.1.13	*BA.5.1.13	Other
*BA.5.2.15	*BA.5.2.15	Other
*BA.5.2.17	*BA.5.2.17	Other
*BA.5.2.64	*BA.5.2.64	Other
*BA.5.4	*BA.5.4	Other
*BB.1	*BB.1	Other
*BF.7.25	*BF.7.25	Other
*BQ.1.1.33	*BQ.1.1.33	Other
*C.15	*C.15	Other
*E.1	*E.1	Other
*F.1	*F.1	Other
*H.1	*H.1	Other
