VOC	HaploName	Date	DateNum	HaploCount	OtherCount	HaploCases	OtherCases	AntigenicDistanceABS	AntigenicDistance	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	InfectionProportion	DailyRelativeGrowthAdvantages	InfPropGroup
BA.2	265	2022-11-20	49	4	2264	308.1130216	174391.9702	1.546711629	0.209305251	0.366942754	-0.184811486	0.118836229	0.966380552	0.57923072	GA9
BA.2	2218	2022-01-09	4	2	4198	336.4412955	706190.2792	0.949946409	0.646390914	0.046542857	0.403651094	-0.006520473	0.008819786	-0.938916622	G0
BA.4/5	752	2022-12-04	34	2	16527	152.0574721	1256526.921	0.598202649	0.183389636	0.011718192	-0.178309277	0.055531863	0.928165587	0.709503637	GA9
Alpha	443	2021-05-23	28	16	32072	1476.0939	2958830.223	0.368158211	0.114837814	0.011903204	0.014992237	-0.003542017	0.865808138	-0.839979967	GA8
WT	92	2020-11-08	41	37	17565	7907.33352	3753846.305	0.753174904	0.281911216	-0.084926537	-0.336875256	0.260214767	0.43980667	0.684135943	GA4
Delta	532	2021-12-05	39	79	116931	2815.119214	4166768.415	0.545517605	0.164924557	0.005529955	-0.284339079	-0.001651262	0.826093234	-0.200731886	GA8
BA.4/5	70	2023-01-01	38	30	7899	2962.33758	779983.4847	0.611971669	0.147203146	0.009919284	0.441993061	0.036463203	0.972636483	-0.209053197	GA9
Delta	270	2021-08-01	21	14	82378	648.1900886	3814043.08	0.522728675	0.297999422	0.00668026	0.160662971	-0.000853926	0.206847934	0.093438976	GA2
Alpha	121	2021-03-07	17	27	31771	1511.896394	1779054.086	0.22370558	0.061848455	0.006106044	0.17434367	-0.000598152	0.265758744	-0.154812815	GA2
Alpha	43	2021-04-04	21	10	48764	628.1431305	3063077.162	0.365322158	0.169721428	0.006858162	0.03842454	-0.001192788	0.434398835	1	GA4
WT	246	2021-01-03	49	11	20662	1851.675669	3478120.242	0.82713226	0.320425614	-0.04998307	0.052031749	-0.011349851	0.703897193	-0.798542581	GA7
Delta	102	2021-10-03	30	13	72176	571.5048369	3172994.855	0.737811714	-0.081878602	0.01634418	0.17858093	-0.001177168	0.538053734	-0.455593962	GA5
Alpha	450	2021-05-02	25	1	48452	89.45356453	4334204.109	0.635952869	0.41366231	-0.601098797	0.455386622	0.032288703	0.693154342	1	GA6
WT	411	2020-06-07	19	1	3248	253.9601026	824862.4131	0.292452827	0.150081075	0.006995999	-0.076985339	-0.000355339	0.057788409	0.466315041	GA0
Alpha	12	2021-02-07	13	39	15451	3430.636421	1359147.778	0.244611047	0.125287231	0.009328599	-0.184202773	-0.000626921	0.166337537	-0.135885562	GA1
Delta	162	2021-10-31	34	11	90379	377.2022328	3099196.418	0.63816155	-0.457061559	0.006802633	-0.093800229	-0.001490691	0.650504522	-0.601358222	GA6
BA.4/5	94	2022-07-17	14	1	64946	90.67138892	5888744.025	0.400932153	0.226979786	0.053179516	-0.30655213	0.025854932	0.233427036	0.640887273	GA2
