VOC	HaploName	Date	DateNum	HaploCount	OtherCount	HaploCases	OtherCases	AntigenicDistanceABS	AntigenicDistance	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	InfectionProportion	DailyRelativeGrowthAdvantages	InfPropGroup
Alpha	1	2020-11-15	1	488	111	102730.317567094	23366.936987597	0.0393324879282137	-0.0393324879282137	0.0019532554257095	0.0658836393989984	-0.0001402585025041	0.0030841097687274	-0.444369515500711	G0
Alpha	1	2020-11-22	2	399	64	113713.95444655	18239.832292179	0.0317661621403888	-0.0317661621403888	0.0061771058315334	0.0604794816414687	-0.000139672349892	0.005215635738535	-0.557628968718635	G0
Alpha	1	2020-11-29	3	448	90	135810.374041298	27283.334070796	0.0385034742026444	-0.0300359332248648	0.0018959107806691	0.0498590788930182	-0.0001306604102849	0.0078501829004251	-0.529615551444608	G0
Alpha	1	2020-12-06	4	381	85	105862.690299987	23617.660565614	0.0351826297403434	-0.0351826297403434	0.0043347639484978	0.0331519313304721	-0.0001577913283261	0.0099417540274917	-0.437672979990508	G0
Alpha	1	2020-12-13	5	1881	308	349258.888723973	57188.589966498	0.0328214924127933	-0.0284462037699385	0.0023709456372773	0.025048329308883	-0.0001991921535763	0.016507335642114	-0.306351813231695	GA0
Alpha	1	2020-12-20	6	3916	783	630396.167381974	126047.037553648	0.0377502343971223	-0.0355069002438652	0.0022643115556501	0.0284543721293925	-0.0005998649208342	0.0287266010065659	-0.178931982750121	GA0
Alpha	1	2020-12-27	7	2549	704	552481.247829227	152587.994692733	0.0474505812800181	-0.0444668112118356	0.004260682446972	0.0429523927650701	-0.0004119277408545	0.0401159929906239	-0.064110507962014	GA0
Alpha	1	2021-01-03	8	4513	1267	759692.026552349	213279.370184318	0.0518601160488524	-0.0436551914663724	0.0058581314878892	0.0265656472527254	-0.000442964317383	0.0558329636913635	-0.115728229729607	GA0
Alpha	1	2021-01-10	9	6034	2168	781695.475454404	280861.085645536	0.0595977957226113	-0.0555205561432751	0.0053096805657156	0.0429284364424659	-0.0005887775885249	0.0729970554567519	-0.106774924535268	GA0
Alpha	1	2021-01-17	10	7393	3305	905081.647292482	404611.773880918	0.0711724387934835	-0.0644405285133028	0.0042858478220228	0.0752903705982062	-0.0007061008762717	0.0941532921113684	-0.132799262494809	GA0
Alpha	1	2021-01-24	11	8365	3835	951706.446279524	436317.300834666	0.0766526885087635	-0.0669490317061545	0.0065942622950819	0.0730316408938372	-0.0004730396576443	0.116574843904662	-0.165152335848409	GA1
Alpha	1	2021-01-31	12	13347	5810	1196973.14378295	521046.97425481	0.0720107940876717	-0.0636295847923198	0.006579318264864	0.0448546980880963	-0.0006025493230853	0.144327018273863	-0.216250109181083	GA1
Alpha	1	2021-02-07	13	11442	4048	1006495.94689634	356082.46749139	0.0698985439472281	-0.0504145753419905	0.009328599096191	0.0200575753291048	-0.0005761971145118	0.166337536864871	-0.255977717130888	GA1
Alpha	1	2021-02-14	14	14240	5384	978964.107827174	370136.429532406	0.0711033913885457	-0.0513167863684865	0.0069088870770485	0.0245125638905935	-0.0003712908397264	0.188130339499306	-0.239272291319822	GA1
Alpha	1	2021-02-21	15	17441	7006	1043427.71812387	419141.94101117	0.0792968467951103	-0.0530366118105262	0.0068143330469996	0.0291758703211583	-0.000380625850117	0.211756074600579	-0.221884330858296	GA2
Alpha	1	2021-02-28	16	18971	9326	1047545.9538208	514965.66155356	0.0876859074341204	-0.0715389132378942	0.0090589108386048	0.0465901807802719	-0.0006334641353947	0.23699623002629	-0.199063962518876	GA2
Alpha	1	2021-03-07	17	21403	10395	1198485.87095932	582080.11160221	0.087700638987103	-0.0744926882792655	0.0061060444053085	0.0311205359650505	-0.0005737124264169	0.26575874398355	-0.194261998929309	GA2
Alpha	1	2021-03-14	18	26291	13603	1380034.61678353	714031.83188567	0.0914787618425839	-0.0764034811847887	0.0076041510001504	0.0421009077530805	-0.0009443415838793	0.299585412608674	-0.180986247860747	GA2
Alpha	1	2021-03-21	19	30060	15557	1627866.40893554	842472.31283466	0.0948561542086835	-0.0779563192096472	0.0073200780410811	0.0264085686511312	-0.0013831864934288	0.339490225269342	-0.176216660030752	GA3
Alpha	1	2021-03-28	20	31705	18140	1788434.62372289	1023251.98152763	0.101147009012786	-0.0863399295414522	0.0085783930183569	0.0379580520407097	-0.0013900488649405	0.38490902806519	-0.164120685506638	GA3
Alpha	1	2021-04-04	21	30470	18304	1913952.11877816	1149753.1861541	0.10743605460316	-0.0883162048138238	0.006858162135564	0.0349982353164989	-0.0011731200299063	0.434398834933946	-0.174869228331472	GA4
Alpha	1	2021-04-11	22	29018	18132	2106434.33777068	1316212.95101171	0.110243923614348	-0.0934188418758747	0.0091312831389183	0.0271128459986727	-0.0012587689779422	0.48968683963499	-0.177179587304382	GA4
Alpha	1	2021-04-18	23	30770	20192	2393771.90087253	1570849.60098856	0.11705781776301	-0.0995249021612862	0.0115195635964052	0.0307410846723456	-0.0015623661850485	0.553729667813975	-0.187652920547949	GA5
Alpha	1	2021-04-25	24	28934	19639	2559580.6463795	1737319.56570978	0.117113717281802	-0.102626703388323	0.0125225948572252	0.0324754821090805	-0.0016122882629897	0.623139986518016	-0.197945836473611	GA6
Alpha	1	2021-05-02	25	28836	19617	2579482.98675244	1754810.57536144	0.119331671532559	-0.10333585851008	0.008913792747611	0.0300507547694512	-0.0019552440028713	0.693154341670314	-0.210297566732026	GA6
Alpha	1	2021-05-09	26	25707	18209	2368495.80445506	1677673.01137131	0.122557299895768	-0.107359075284532	0.0094623827306676	0.0332275166959495	-0.0022865747707415	0.758514450859424	-0.204128657526533	GA7
Alpha	1	2021-05-16	27	21626	16124	2109204.42090241	1572589.10952699	0.126133800993284	-0.113732160546001	0.0087128476821192	0.0408749256267245	-0.0026734747794871	0.817988594948361	-0.170907827169088	GA8
Alpha	1	2021-05-23	28	17843	14245	1646121.46613081	1314184.85036335	0.13450258255761	-0.119084929436655	0.0119032036898529	0.0394020434897409	-0.003531547865156	0.865808138048605	-0.128894262856176	GA8
Alpha	1	2021-05-30	29	13530	11730	1176270.47003782	1019782.15916804	0.144634029584913	-0.127564181473915	0.0156987331749802	0.0371739500296656	-0.0034211877523133	0.901282248537643	-0.0692712446696712	GA9
Alpha	1	2021-06-06	30	10160	8684	842524.209652684	720126.007541726	0.147219699905995	-0.129698708435015	0.0183182976013585	0.0285155639222024	-0.0036518264254001	0.926524642878857	-0.00868434673666607	GA9
Alpha	1	2021-06-13	31	7882	7336	634667.796352045	590703.242075435	0.153593690996192	-0.132342949563802	0.0186259692469444	0.0371102269785976	-0.0040771013298696	0.94631877122949	0.0803997815274444	GA9
Alpha	1	2021-06-20	32	5603	5224	505543.041457359	471346.929961314	0.152065001691334	-0.137769250667215	0.0148258982174194	0.035747276705717	-0.0035188424961611	0.962099040937448	0.0192390244440499	GA9
Alpha	1	2021-06-27	33	4394	4315	322134.578914755	316342.901232855	0.157012298769775	-0.146068153555406	0.0171018486623034	0.0410722032361668	-0.0054068974399601	0.972412737601316	0	GA9
Alpha	1	2021-07-04	34	3247	3310	219708.121173837	223971.013577272	0.1658908067037	-0.153032484264425	0.0149992374561537	0.0481947761507622	-0.0049331544638357	0.97957974372791	0	GA9
Alpha	1	2021-07-11	35	2948	2764	188097.397427253	176357.261359881	0.164131450299492	-0.150869684052749	0.0173669467787115	0.0640216220858825	-0.0048072825126509	0.985466990992442	0	GA9
Alpha	1	2021-07-18	36	2287	2185	146455.371753471	139923.474980907	0.159780386242197	-0.146799615181327	0.0149888193202147	0.0596323359280009	-0.0073610520212508	0.990093034428592	0	GNintyNine
Alpha	1	2021-07-25	37	1929	1652	104144.730786555	89189.784997091	0.146760779092647	-0.135365338769403	0.0213096900307177	0.0434654107500364	-0.0081850312057164	0.993216078878003	0	GNintyNine
Alpha	1	2021-08-01	38	1753	1320	81162.6589520438	61115.0654972602	0.126247504443818	-0.12321865106806	0.0095802147738366	0.0539417614560833	-0.0049836865707607	0.995514373395229	0	GNintyNine
Alpha	1	2021-08-08	39	886	688	39396.2507901552	30592.1225097367	0.13873667743721	-0.116438278001164	0.0154193138500635	0.0336388692710032	-0.0061246544955952	0.996644936139659	0	GNintyNine
Alpha	1	2021-08-15	40	1105	1395	53991.7311578826	68161.5067558794	0.163249300614954	-0.127145531921046	0.011532	0.0632109827956989	-0.0039007160492	0.998618148165963	0	GNintyNine
Alpha	1	2021-08-22	41	370	424	13707.1657950867	15707.6710732885	0.174074261635088	-0.169353807903955	0.0089672544080604	0.0519865304643314	-0.008425812556675	0.999093303068541	0	GNintyNine
Alpha	10	2021-02-07	13	2	15488	175.930072871236	1362402.48431486	0.409576049565454	0.289352515320006	0.009328599096191	0.0851296932496773	-0.0006269645048617	0.166337536864871	1	GA1
Alpha	10	2021-02-21	15	1	24446	59.8261405953714	1462509.83299444	0.416805210439129	0.284528514312651	0.0068143330469996	0.0967373012502647	-0.0004352643701723	0.211756074600579	1	GA2
Alpha	10	2021-02-28	16	5	28292	276.09139049623	1562235.52398386	0.42913049056958	0.270028268788614	0.0090589108386048	0.110860369007633	-0.0006727481625576	0.23699623002629	1	GA2
Alpha	10	2021-03-07	17	14	31784	783.946278252135	1779782.03628328	0.430021843828116	0.268133998236569	0.0061060444053085	0.095251945434026	-0.0005981567294429	0.26575874398355	1	GA2
Alpha	10	2021-03-14	18	28	39866	1469.7413285892	2092596.70734061	0.433170296677864	0.265792421444044	0.0076041510001504	0.106490011887495	-0.0009818767379933	0.299585412608674	1	GA2
Alpha	10	2021-03-21	19	40	45577	2166.15623278182	2468172.56553742	0.435858715782208	0.26370027386643	0.0073200780410811	0.0906330480955107	-0.0014080079772507	0.339490225269342	1	GA3
Alpha	10	2021-03-28	20	80	49765	4512.6879008936	2807173.91734963	0.442747720077855	0.256430051014559	0.0085783930183569	0.100324234765672	-0.0014064096345299	0.38490902806519	0.70189863356236	GA3
Alpha	10	2021-04-04	21	128	48646	8040.2320710077	3055665.07286125	0.447181755309571	0.25354910036292	0.006858162135564	0.0980837672871229	-0.0011927588631491	0.434398834933946	0.209509315149993	GA4
Alpha	10	2021-04-11	22	179	46971	12993.7192935747	3409653.56948882	0.450385010541961	0.249650630982511	0.0091312831389183	0.0900979116314475	-0.0012762652148833	0.48968683963499	-0.0857587780649836	GA4
Alpha	10	2021-04-18	23	356	50606	27695.2485118823	3936926.25334921	0.455819333809521	0.244546376138667	0.0115195635964052	0.0938922312493652	-0.001578336834609	0.553729667813975	-0.298423560624243	GA5
Alpha	10	2021-04-25	24	405	48168	35827.4058817894	4261072.80620749	0.456031381635354	0.24289035379186	0.0125225948572252	0.0955972257442663	-0.0016296692000023	0.623139986518016	-0.339986275583421	GA6
Alpha	10	2021-05-02	25	397	48056	35513.065117933	4298780.49699595	0.458329112458326	0.241690208611051	0.008913792747611	0.0926793707310862	-0.0019750280288318	0.693154341670314	-0.331632535721592	GA6
Alpha	10	2021-05-09	26	307	43609	28285.2223895322	4017883.59343684	0.462164329252532	0.237556473771294	0.0094623827306676	0.0964820180200516	-0.0023008775565201	0.758514450859424	-0.268388131915515	GA7
Alpha	10	2021-05-16	27	258	37492	25162.9862477029	3656630.5441817	0.466593539038552	0.232020950088194	0.0087128476821192	0.103071155059163	-0.0026822554789605	0.817988594948361	-0.242478612360805	GA8
Alpha	10	2021-05-23	28	135	31953	12454.5422814358	2947851.77421272	0.475147256164088	0.225019410906297	0.0119032036898529	0.103258398093395	-0.0035419853488967	0.865808138048605	-0.109851501628387	GA8
Alpha	10	2021-05-30	29	115	25145	9997.86430556902	2186054.76490029	0.484675957772008	0.216378171704787	0.0156987331749802	0.102253443449214	-0.00343655360161	0.901282248537643	-0.315643971409578	GA9
Alpha	10	2021-06-06	30	98	18746	8126.7098962562	1554523.50729815	0.486117799947169	0.214317372225773	0.0183182976013585	0.0967086339845618	-0.0036720942180634	0.926524642878857	-0.489270057673339	GA9
