InfGroup	ADVType	Count	Proportion
G0	NN	83	0.073777778
G0	NP	655	0.582222222
G0	PN	3	0.002666667
G0	PP	384	0.341333333
GA0	NN	318	0.090779332
GA0	NP	1458	0.416214673
GA0	PP	1727	0.493005995
GA1	NN	196	0.078841512
GA1	NP	949	0.381737731
GA1	PP	1341	0.539420756
GA2	NN	224	0.136004857
GA2	NP	492	0.298724954
GA2	PP	931	0.565270188
GA3	NN	232	0.177777778
GA3	NP	324	0.248275862
GA3	PP	749	0.57394636
GA4	NN	413	0.354810997
GA4	NP	125	0.107388316
GA4	PN	42	0.036082474
GA4	PP	584	0.501718213
GA5	NN	379	0.418322296
GA5	NP	17	0.018763797
GA5	PN	137	0.151214128
GA5	PP	373	0.411699779
GA6	NN	521	0.441151566
GA6	NP	11	0.009314141
GA6	PN	261	0.220999153
GA6	PP	388	0.32853514
GA7	NN	725	0.462077757
GA7	NP	22	0.01402167
GA7	PN	386	0.246016571
GA7	PP	436	0.277884003
GA8	NN	858	0.508896797
GA8	PN	586	0.347568209
GA8	PP	242	0.143534994
GA9	NN	1209	0.548797095
GA9	PN	683	0.310031775
GA9	PP	311	0.14117113
