VOC	Date	Cases	HaploNum	HaploNumPer100Seq
WT	2020-02-02	122	13	0.168831168831169
WT	2020-02-09	244	15	0.230769230769231
WT	2020-02-16	580	11	0.174603174603175
WT	2020-02-23	2289	22	0.0960698689956332
WT	2020-03-01	8594	45	0.0959488272921109
WT	2020-03-08	28273.0121640181	119	0.070123747790218
WT	2020-03-15	83430.8813287973	242	0.0484581497797357
WT	2020-03-22	193600.07040022	455	0.0470916994411095
WT	2020-03-29	328735.947943655	618	0.0552673940261134
WT	2020-04-05	445456.473347974	630	0.0630630630630631
WT	2020-04-12	497361.811884669	573	0.0673246387028551
WT	2020-04-19	522636.96521079	547	0.0733932644572655
WT	2020-04-26	529778.259420533	513	0.0860593860090589
WT	2020-05-03	555630.305582137	536	0.10260336906585
WT	2020-05-10	579080.600300687	481	0.103329752953813
WT	2020-05-17	628509.119528619	437	0.105275837147675
WT	2020-05-24	678548.655535577	464	0.119218910585817
WT	2020-05-31	756745.333333333	341	0.117141875644109
WT	2020-06-07	825116.373230769	372	0.11449676823638
WT	2020-06-14	925895.103258476	475	0.104602510460251
WT	2020-06-21	1030539.33333333	515	0.0973350973350973
WT	2020-06-28	1172533	454	0.0995832419390217
WT	2020-07-05	1304411.96189477	502	0.0877929345925149
WT	2020-07-12	1439765.35097568	685	0.110164039884207
WT	2020-07-19	1573526.88720539	778	0.112835387962292
WT	2020-07-26	1717559.46691616	654	0.101996257018091
WT	2020-08-02	1803950.6717833	685	0.103193733052124
WT	2020-08-09	1852842.85089216	681	0.105696104299239
WT	2020-08-16	1843723.60634139	751	0.109014370735956
WT	2020-08-23	1859482.22926141	761	0.119428750784683
WT	2020-08-30	1893492.97281058	754	0.11331529906823
WT	2020-09-06	1938192.01627876	830	0.111694253801642
WT	2020-09-13	2008272.88471346	793	0.106643356643357
WT	2020-09-20	2050157.83741296	818	0.104925602873268
WT	2020-09-27	2108738.5186479	938	0.0964722822174226
WT	2020-10-04	2199656.24165029	994	0.108538982310548
WT	2020-10-11	2363259.20165299	1250	0.110394771703612
WT	2020-10-18	2678676.61797372	1333	0.113263658764551
WT	2020-10-25	3062606.5556711	1397	0.104075094986218
WT	2020-11-01	3469492.52513084	1449	0.113335940555338
WT	2020-11-08	3761753.63847764	1926	0.109419384160891
WT	2020-11-15	3875543.33280779	2190	0.118957088538838
WT	2020-11-22	3923558.92447533	1845	0.134016125517542
WT	2020-11-29	3945776.40294985	1725	0.132529194837124
WT	2020-12-06	4073907.5201533	1919	0.130882553539763
WT	2020-12-13	3970522.10338832	2534	0.118499812944257
WT	2020-12-20	3592743.0193133	2702	0.121068196074917
WT	2020-12-27	3595788.1135688	2386	0.143821579264617
WT	2021-01-03	3479971.91777459	2847	0.137715861268321
WT	2021-01-10	3625025.32220171	3779	0.135051104281324
WT	2021-01-17	3377559.52484137	3897	0.141251948240241
WT	2021-01-24	2882083.40671284	3775	0.149021001105321
WT	2021-01-31	1988049.79781077	3564	0.160772284373872
WT	2021-02-07	1843131.40843551	3470	0.165608743378037
WT	2021-02-14	1431047.53290242	3470	0.166698693312836
WT	2021-02-21	1153986.42594412	3431	0.177873399346778
WT	2021-02-28	1060687.90400842	3394	0.176688010828258
WT	2021-03-07	1003003.26686087	3345	0.186746315319339
WT	2021-03-14	893707.709305706	3144	0.184658757194878
WT	2021-03-21	896626.218654213	2947	0.177991181977411
WT	2021-03-28	939767.255361092	2874	0.172509003601441
WT	2021-04-04	1090205.2173782	2879	0.165879234846739
WT	2021-04-11	1172265.77023429	2612	0.161743761223605
WT	2021-04-18	1126403.09888636	2494	0.17224946474204
WT	2021-04-25	1106226.44580686	2244	0.179448220711715
WT	2021-05-02	1100278.84370422	2130	0.173170731707317
WT	2021-05-09	976439.045225609	1985	0.1872994904699
WT	2021-05-16	814188.407735751	1642	0.196693818878773
WT	2021-05-23	701329.114247963	1550	0.203893712181005
WT	2021-05-30	557446.138498335	1341	0.209139114160948
WT	2021-06-06	509992.50879567	1298	0.211056910569106
WT	2021-06-13	461466.777581016	1227	0.214098761123713
WT	2021-06-20	473873.291760494	1218	0.231911652703732
WT	2021-06-27	368541.312745669	1106	0.220011935548041
WT	2021-07-04	345361.949636978	1121	0.219631661442006
WT	2021-07-11	287059.087864726	1028	0.228495221160258
WT	2021-07-18	336392.683787051	1173	0.223300970873786
WT	2021-07-25	195602.052690351	875	0.24151255865305
WT	2021-08-01	147046.551529772	877	0.276133501259446
WT	2021-08-08	314191.769845639	871	0.123266345881687
WT	2021-08-15	145899.827364197	634	0.212324179504354
WT	2021-08-22	232243.844241617	520	0.0829478385707449
WT	2021-08-29	55619.4603986606	395	0.330267558528428
WT	2021-09-05	42020.5600894218	306	0.326574172892209
WT	2021-09-12	31155.9571601864	217	0.332822085889571
WT	2021-09-19	29030.7531401394	226	0.365105008077544
BA.1	2021-11-28	15712.0260893465	39	0.10655737704918
BA.1	2021-12-05	34993.000863134	112	0.114052953156823
BA.1	2021-12-12	174384.809171653	316	0.0750415578247447
BA.1	2021-12-19	951461.243100805	935	0.0592634848196742
BA.1	2021-12-26	3477108.28606392	1585	0.048009935179015
BA.1	2022-01-02	7860218.60262543	2676	0.0499869241977061
BA.1	2022-01-09	13102201.5908944	3653	0.0469012800595735
BA.1	2022-01-16	18125841.3691079	4232	0.043588423112576
BA.1	2022-01-23	20132852.8734813	4707	0.0439754477423695
