VOC	Date	Cases	AverageNUCMutCount
WT	2020-02-02	122	4.27242524916944
WT	2020-02-09	244	5.52158273381295
WT	2020-02-16	580	4.90452261306533
WT	2020-02-23	2289	4.33221476510067
WT	2020-03-01	8594	5.47445255474453
WT	2020-03-08	28273.0121640181	6.76589758019133
WT	2020-03-15	83430.8813287973	7.38659284160569
WT	2020-03-22	193600.07040022	7.59091832588379
WT	2020-03-29	328735.947943655	7.7359575409111
WT	2020-04-05	445456.473347974	8.3455159400139
WT	2020-04-12	497361.811884669	8.83866807363114
WT	2020-04-19	522636.96521079	9.4027034261242
WT	2020-04-26	529778.259420533	9.74103852596315
WT	2020-05-03	555630.305582137	10.1465089660435
WT	2020-05-10	579080.600300687	10.362894567318
WT	2020-05-17	628509.119528619	10.584737602311
WT	2020-05-24	678548.655535577	11.1217882836588
WT	2020-05-31	756745.333333333	11.3233779608651
WT	2020-06-07	825116.373230769	11.8604365201353
WT	2020-06-14	925895.103258476	12.0930079155673
WT	2020-06-21	1030539.33333333	12.1891177026261
WT	2020-06-28	1172533	12.8551105274677
WT	2020-07-05	1304411.96189477	13.1176881438799
WT	2020-07-12	1439765.35097568	13.691169451074
WT	2020-07-19	1573526.88720539	14.2661048421654
WT	2020-07-26	1717559.46691616	14.6888991107022
WT	2020-08-02	1803950.6717833	15.1673615247171
WT	2020-08-09	1852842.85089216	15.8384757790805
WT	2020-08-16	1843723.60634139	15.7522723993652
WT	2020-08-23	1859482.22926141	15.9452697419859
WT	2020-08-30	1893492.97281058	16.3705697622252
WT	2020-09-06	1938192.01627876	16.7682288169733
WT	2020-09-13	2008272.88471346	16.6608894263066
WT	2020-09-20	2050157.83741296	16.9295035823951
WT	2020-09-27	2108738.5186479	16.784716516023
WT	2020-10-04	2199656.24165029	17.5613079019074
WT	2020-10-11	2363259.20165299	18.0253744493392
WT	2020-10-18	2678676.61797372	18.5404992358635
WT	2020-10-25	3062606.5556711	18.677762883527
WT	2020-11-01	3469492.52513084	18.9566033309876
WT	2020-11-08	3761753.63847764	19.3353395412219
WT	2020-11-15	3875543.33280779	19.4154681139756
WT	2020-11-22	3923558.92447533	19.7109403320525
WT	2020-11-29	3945776.40294985	20.0399786780384
WT	2020-12-06	4073907.5201533	20.4726742609167
WT	2020-12-13	3970522.10338832	20.6965452847806
WT	2020-12-20	3592743.0193133	20.9894614628918
WT	2020-12-27	3595788.1135688	21.3166347075743
WT	2021-01-03	3479971.91777459	21.7726878194619
WT	2021-01-10	3625025.32220171	22.1031836676422
WT	2021-01-17	3377559.52484137	22.4108403635179
WT	2021-01-24	2882083.40671284	22.960585895972
WT	2021-01-31	1988049.79781077	23.2257382066979
WT	2021-02-07	1843131.40843551	23.7950112080889
WT	2021-02-14	1431047.53290242	23.7055264800499
WT	2021-02-21	1153986.42594412	24.4111975116641
WT	2021-02-28	1060687.90400842	25.1931522530961
WT	2021-03-07	1003003.26686087	25.7498046656993
WT	2021-03-14	893707.709305706	26.8726858611225
WT	2021-03-21	896626.218654213	27.92492474413
WT	2021-03-28	939767.255361092	29.1881710755204
WT	2021-04-04	1090205.2173782	28.5995983935743
WT	2021-04-11	1172265.77023429	31.0859949342065
WT	2021-04-18	1126403.09888636	31.4979304635762
WT	2021-04-25	1106226.44580686	32.8158631166547
WT	2021-05-02	1100278.84370422	33.5281547087024
WT	2021-05-09	976439.045225609	33.609093481747
WT	2021-05-16	814188.407735751	35.3167204493845
WT	2021-05-23	701329.114247963	36.6969776609724
WT	2021-05-30	557446.138498335	36.4482382288743
WT	2021-06-06	509992.50879567	38.1586475942783
WT	2021-06-13	461466.777581016	38.9646218194493
WT	2021-06-20	473873.291760494	37.7026461069865
WT	2021-06-27	368541.312745669	38.9986075193953
WT	2021-07-04	345361.949636978	40.4661182922053
WT	2021-07-11	287059.087864726	40.1346367473895
WT	2021-07-18	336392.683787051	36.1366577845451
WT	2021-07-25	195602.052690351	41.1932726771436
WT	2021-08-01	147046.551529772	39.6401133501259
WT	2021-08-08	314191.769845639	22.8874893857911
WT	2021-08-15	145899.827364197	30.6329537843269
WT	2021-08-22	232243.844241617	15.5562290636465
WT	2021-08-29	55619.4603986606	41.8996655518395
WT	2021-09-05	42020.5600894218	42.5442902881537
WT	2021-09-12	31155.9571601864	42.5061349693252
WT	2021-09-19	29030.7531401394	39.9
BA.1	2021-11-28	15712.0260893465	61.2981029810298
BA.1	2021-12-05	34993.000863134	62.3106598984772
BA.1	2021-12-12	174384.809171653	62.6887307236062
BA.1	2021-12-19	951461.243100805	63.378876091634
BA.1	2021-12-26	3477108.28606392	63.811578438482
BA.1	2022-01-02	7860218.60262543	63.9568242008281
BA.1	2022-01-09	13102201.5908944	64.4145716409113
BA.1	2022-01-16	18125841.3691079	65.023392354042
BA.1	2022-01-23	20132852.8734813	65.2070069640223
BA.1	2022-01-30	19533806.7464031	65.2873627274217
BA.1	2022-02-06	16244804.8103502	65.5577452245299
BA.1	2022-02-13	12397499.1642993	65.9116374051194
BA.1	2022-02-20	8410419.29931185	66.1218477762494
BA.1	2022-02-27	6019320.72747553	66.2263844952549
BA.1	2022-03-06	4166962.917617	66.5822793020691
BA.1	2022-03-13	3074861.9273	66.9690376914503
BA.1	2022-03-20	1990573.55190801	67.1485745614035
BA.1	2022-03-27	1351211.44823452	67.5267294160651
BA.1	2022-04-03	889983.768258389	67.835906793936
BA.1	2022-04-10	580999.477097794	67.9573086759788
BA.1	2022-04-17	279300.753602338	68.194009056078
BA.1	2022-04-24	135070.988887541	68.4674376141205
BA.1	2022-05-01	74292.2120283471	68.7466666666667
BA.1	2022-05-08	43862.1278590941	69.2
BA.1	2022-05-15	43806.1033071563	67.620542082739
BA.2	2021-12-19	8382.65277245432	68.0359712230216
BA.2	2021-12-26	48448.2283755196	69
BA.2	2022-01-02	250633.11455676	70.215652173913
BA.2	2022-01-09	706526.720527896	71.7178334910123
BA.2	2022-01-16	1117159.69464149	73.9981663610602
BA.2	2022-01-23	1926254.90510125	73.3503159941663
BA.2	2022-01-30	2498711.2793521	72.5985327599292
BA.2	2022-02-06	3355478.18803692	72.5441893594871
BA.2	2022-02-13	3739522.34936964	72.8763253845187
BA.2	2022-02-20	4756414.18209908	72.8442372324565
BA.2	2022-02-27	5390288.93311586	72.8527915383585
BA.2	2022-03-06	6844421.42859937	73.17647985817
BA.2	2022-03-13	8385686.9606723	73.4604782464298
BA.2	2022-03-20	9579877.97142947	73.6354511249716
BA.2	2022-03-27	9450815.44324179	73.9462474909413
BA.2	2022-04-03	8217975.11856008	74.11811262395
BA.2	2022-04-10	6762558.34054381	74.1793536166686
BA.2	2022-04-17	5507916.29438794	74.4356029822268
BA.2	2022-04-24	4554080.44262608	74.8113988518365
BA.2	2022-05-01	3836623.91572496	75.2969878804627
BA.2	2022-05-08	3476386.93374648	75.7865328612432
BA.2	2022-05-15	3203344.73841389	76.1541865543296
BA.2	2022-05-22	2949894.10581223	76.6386255170219
BA.2	2022-05-29	2564774.30766694	77.158814199227
BA.2	2022-06-05	2221755.1062324	77.4315977539561
BA.2	2022-06-12	1994294.28946771	77.8544222618782
BA.2	2022-06-19	1686703.02282944	77.907571781414
BA.2	2022-06-26	1370159.92406875	78.1704942720379
BA.2	2022-07-03	1144364.57064835	78.528756069206
BA.2	2022-07-10	953668.280207561	78.7039496378061
BA.2	2022-07-17	719205.456877572	78.8965900667161
BA.2	2022-07-24	486359.417137055	79.3666263115416
BA.2	2022-07-31	311802.406959875	79.9432933478735
BA.2	2022-08-07	197493.062353738	80.7602070155262
BA.2	2022-08-14	135250.565672596	81.9515455304929
