VOC	Date	Cases	AverageNUCMutCount	
Alpha	2020-11-22	131953.7867	35.08639309	0.134807112
Alpha	2020-11-29	163093.7081	35.5464684	0.460075313
Alpha	2020-12-06	129480.3509	35.41201717	-0.134451234
Alpha	2020-12-13	406447.4787	35.61935189	0.207334727
Alpha	2020-12-20	756443.2049	35.87848478	0.25913289
Alpha	2020-12-27	705069.2425	36.21172139	0.333236603
Alpha	2021-01-03	972971.3967	36.44586648	0.234145095
Alpha	2021-01-10	1062556.561	36.86793372	0.422067241
Alpha	2021-01-17	1309693.421	36.98766125	0.119727522
Alpha	2021-01-24	1388023.747	37.28692018	0.299258932
Alpha	2021-01-31	1718020.118	37.29050104	0.003580867
Alpha	2021-02-07	1362578.414	37.67043254	0.379931493
Alpha	2021-02-14	1349100.537	37.82704851	0.156615975
Alpha	2021-02-21	1462569.659	38.02949116	0.202442653
Alpha	2021-02-28	1562511.615	38.39975969	0.370268527
Alpha	2021-03-07	1780565.983	38.88245653	0.482696835
Alpha	2021-03-14	2094066.449	39.33103587	0.448579339
Alpha	2021-03-21	2470338.722	39.65928719	0.32825132
Alpha	2021-03-28	2811686.605	39.74933296	0.090045773
Alpha	2021-04-04	3063705.305	39.67445722	-0.074875735
Alpha	2021-04-11	3422647.289	39.91522836	0.240771138
Alpha	2021-04-18	3964621.502	40.12331509	0.208086724
Alpha	2021-04-25	4296900.212	40.34687828	0.223563195
Alpha	2021-05-02	4334293.562	40.35744505	0.010566771
Alpha	2021-05-09	4046168.816	40.46566485	0.108219793
Alpha	2021-05-16	3681793.53	40.56882216	0.103157313
Alpha	2021-05-23	2960306.316	40.81974409	0.250921934
Alpha	2021-05-30	2196052.629	41.13620908	0.316464985
Alpha	2021-06-06	1562650.217	41.297293	0.161083924
Alpha	2021-06-13	1225371.038	41.51285077	0.215557772
Alpha	2021-06-20	976889.9714	41.71696897	0.204118198
Alpha	2021-06-27	638477.4801	41.840087	0.123118025
Alpha	2021-07-04	443679.1348	41.8847793	0.044692304
Alpha	2021-07-11	364454.6588	41.62731724	-0.257462056
Alpha	2021-07-18	286378.8467	41.51473872	-0.112578521
Alpha	2021-07-25	193334.5158	41.26408254	-0.250656179
Alpha	2021-08-01	142277.7244	40.90149545	-0.362587095
Alpha	2021-08-08	69988.3733	41.1752381	0.273742647
Alpha	2021-08-15	122153.2379	40.8408	-0.334438095
Alpha	2021-08-22	29414.83687	41.44206549	0.601265491
BA.1	2021-12-05	34993.00086	62.3106599	1.012556917
BA.1	2021-12-12	174384.8092	62.68873072	0.378070825
BA.1	2021-12-19	951461.2431	63.37887609	0.690145368
BA.1	2021-12-26	3477108.286	63.81157844	0.432702347
BA.1	2022-01-02	7860218.603	63.9568242	0.145245762
BA.1	2022-01-09	13102201.59	64.41457164	0.45774744
BA.1	2022-01-16	18125841.37	65.02339235	0.608820713
BA.1	2022-01-23	20132852.87	65.20700696	0.18361461
BA.1	2022-01-30	19533806.75	65.28736273	0.080355763
BA.1	2022-02-06	16244804.81	65.55774522	0.270382497
BA.1	2022-02-13	12397499.16	65.91163741	0.353892181
BA.1	2022-02-20	8410419.299	66.12184778	0.210210371
BA.1	2022-02-27	6019320.727	66.2263845	0.104536719
BA.1	2022-03-06	4166962.918	66.5822793	0.355894807
BA.1	2022-03-13	3074861.927	66.96903769	0.386758389
BA.1	2022-03-20	1990573.552	67.14857456	0.17953687
BA.1	2022-03-27	1351211.448	67.52672942	0.378154855
BA.1	2022-04-03	889983.7683	67.83590679	0.309177378
BA.1	2022-04-10	580999.4771	67.95730868	0.121401882
BA.1	2022-04-17	279300.7536	68.19400906	0.23670038
BA.1	2022-04-24	135070.9889	68.46743761	0.273428558
BA.1	2022-05-01	74292.21203	68.74666667	0.279229053
BA.1	2022-05-08	43862.12786	69.2	0.453333333
BA.1	2022-05-15	43806.10331	67.62054208	-1.579457917
BA.2	2021-12-26	48448.22838	69	0.964028777
BA.2	2022-01-02	250633.1146	70.21565217	1.215652174
BA.2	2022-01-09	706526.7205	71.71783349	1.502181317
BA.2	2022-01-16	1117159.695	73.99816636	2.28033287
BA.2	2022-01-23	1926254.905	73.35031599	-0.647850367
BA.2	2022-01-30	2498711.279	72.59853276	-0.751783234
BA.2	2022-02-06	3355478.188	72.54418936	-0.0543434
BA.2	2022-02-13	3739522.349	72.87632538	0.332136025
BA.2	2022-02-20	4756414.182	72.84423723	-0.032088152
BA.2	2022-02-27	5390288.933	72.85279154	0.008554306
BA.2	2022-03-06	6844421.429	73.17647986	0.32368832
BA.2	2022-03-13	8385686.961	73.46047825	0.283998388
BA.2	2022-03-20	9579877.971	73.63545112	0.174972879
BA.2	2022-03-27	9450815.443	73.94624749	0.310796366
BA.2	2022-04-03	8217975.119	74.11811262	0.171865133
BA.2	2022-04-10	6762558.341	74.17935362	0.061240993
BA.2	2022-04-17	5507916.294	74.43560298	0.256249366
BA.2	2022-04-24	4554080.443	74.81139885	0.37579587
BA.2	2022-05-01	3836623.916	75.29698788	0.485589029
BA.2	2022-05-08	3476386.934	75.78653286	0.489544981
BA.2	2022-05-15	3203344.738	76.15418655	0.367653693
BA.2	2022-05-22	2949894.106	76.63862552	0.484438963
BA.2	2022-05-29	2564774.308	77.1588142	0.520188682
BA.2	2022-06-05	2221755.106	77.43159775	0.272783555
BA.2	2022-06-12	1994294.289	77.85442226	0.422824508
BA.2	2022-06-19	1686703.023	77.90757178	0.05314952
BA.2	2022-06-26	1370159.924	78.17049427	0.262922491
BA.2	2022-07-03	1144364.571	78.52875607	0.358261797
BA.2	2022-07-10	953668.2802	78.70394964	0.175193569
BA.2	2022-07-17	719205.4569	78.89659007	0.192640429
BA.2	2022-07-24	486359.4171	79.36662631	0.470036245
BA.2	2022-07-31	311802.407	79.94329335	0.576667036
