VOC	Date	InfectionProportion	HaploMax_AntigenicDistanceABS	HaploMax_ChangeACE2binding	HaploMax_ChangeCellEntry	HaploMax_ChangeImmuneEscape	AdvHaploMax_AntigenicDistanceABS	AdvHaploMax_ChangeACE2binding	AdvHaploMax_ChangeCellEntry	AdvHaploMax_ChangeImmuneEscape
WT	2020-02-02	1.57313687408105E-06	1.00891008220779	0.260909090909091	0.0558506493506494	0.0931787179220779	0	0	0	0
WT	2020-02-09	3.68878750210056E-06	0.496649007064935	0.620909090909091	0.212950649350649	0	0	0	0	0
WT	2020-02-16	8.71779309329449E-06	0.902839151064935	0.000909090909090911	0.244150649350649	0	0	0	0	0
WT	2020-02-23	2.85650237799202E-05	0.510454971064935	0.000909090909090911	0.563650649350649	0	0	0	0	0
WT	2020-03-01	0.000103081013522542	0.542192449064935	0.170909090909091	0.244150649350649	0.00802180392207792	0	0	0	0
WT	2020-03-08	0.000348227800165198	2.53932821319481	0.540909090909091	0.91185064935065	0.260546933922078	0	0	0	0
WT	2020-03-15	0.00107163188409754	0.741206035064935	0.260909090909091	0.781550649350649	0.0102259849220779	0	0	0	0
WT	2020-03-22	0.00275027987806003	2.40671893635065	0.620909090909091	0.965050649350649	0.260546933922078	0	0	0	0
WT	2020-03-29	0.00560065043018948	0.847749085194805	0.900909090909091	0.781550649350649	0.0949928899220779	0	0	0	0
WT	2020-04-05	0.00946306955967307	0.847749085194805	0.900909090909091	0.781550649350649	0.0949928899220779	0	0	0	0
WT	2020-04-12	0.0137755442714219	1.00891008220779	0.900909090909091	0.781550649350649	0.0949928899220779	0	0	0	0
WT	2020-04-19	0.0183071722373007	2.3836335531948	0.620909090909091	1.71325064935065	0.260546933922078	0	0	0	0
WT	2020-04-26	0.0229007202178504	1.35190400416883	0.900909090909091	0.781550649350649	0.0957196359220779	0	0	0	0
WT	2020-05-03	0.0277184235168321	3.01900584301299	0.880909090909091	0.721650649350649	0.342005953922078	0	0	0	0
WT	2020-05-10	0.0327394572697012	2.25003227622078	1.21090909090909	0.740350649350649	0.289747810922078	0	0	0	0
WT	2020-05-17	0.0381890708494009	1.97859567719481	0.620909090909091	0.740350649350649	0.101477232922078	0	0	0	0
WT	2020-05-24	0.0440725621986863	2.3836335531948	0.880909090909091	0.965050649350649	0.260546933922078	0	0	0	0
WT	2020-05-31	0.0506340734270367	1.47911984306494	0.900909090909091	0.740350649350649	0.260546933922078	0	0	0	0
WT	2020-06-07	0.0577884093828353	2.0729927751948	0.900909090909091	0.740350649350649	0.101477232922078	0	0	0	0
WT	2020-06-14	0.0658165674020525	2.3117683011948	1.63090909090909	0.965050649350649	0.101477232922078	0	0	0	0
WT	2020-06-21	0.0747520640732224	1.97859567719481	1.63090909090909	0.751950649350649	0.101477232922078	0	0	0	0
WT	2020-06-28	0.0849187451298766	0.847749085194805	1.63090909090909	0.740350649350649	0.260546933922078	0	0	0	0
WT	2020-07-05	0.0962289090084784	1.03504583683117	1.63090909090909	1.71325064935065	0.260546933922078	0	0	0	0
WT	2020-07-12	0.108712681422382	2.29740124435065	1.63090909090909	1.71325064935065	0.260546933922078	0	0	0	0
WT	2020-07-19	0.122356259894192	2.01559741119481	1.63090909090909	0.965050649350649	0.260546933922078	0	0	0	0
WT	2020-07-26	0.137248701553381	2.0729927751948	1.63090909090909	0.965050649350649	0.260546933922078	0	0	0	0
WT	2020-08-02	0.152890215371719	2.11233876006493	0.900909090909091	0.740350649350649	0.260546933922078	0	0	0	0
WT	2020-08-09	0.168955658572995	3.27621007583117	1.63090909090909	0.965050649350649	0.342005953922078	0	0	0	0
WT	2020-08-16	0.184942031546973	2.47342768735065	1.63090909090909	0.965050649350649	0.365414853922078	0	0	0	0
WT	2020-08-23	0.201065042801596	2.21499453635065	1.63090909090909	0.689350649350649	0.260546933922078	0	0	0	0
WT	2020-08-30	0.217482950986339	6.71433360688312	1.63090909090909	1.71325064935065	0.365414853922078	0	0	0	0
WT	2020-09-06	0.234288431135776	6.71433360688312	1.63090909090909	0.965050649350649	0.355684219922078	0	0	0	0
WT	2020-09-13	0.251701561421753	6.71433360688312	1.63090909090909	0.965050649350649	0.355684219922078	0	0	0	0
WT	2020-09-20	0.269477863537581	6.71433360688312	1.63090909090909	0.965050649350649	0.355684219922078	0	0	0	0
WT	2020-09-27	0.287762101124902	2.3487700351948	1.63090909090909	0.921450649350649	0.263200473922078	0	0	0	0
WT	2020-10-04	0.306834658948978	6.71433360688312	1.63090909090909	0.921450649350649	0.355684219922078	0	0	0	0
WT	2020-10-11	0.327325768843035	6.71433360688312	1.63090909090909	0.921450649350649	0.355684219922078	0	0	0	0
WT	2020-10-18	0.350551768306467	2.14739679062338	1.63090909090909	1.71325064935065	0.365414853922078	0	0	0	0
WT	2020-10-25	0.377106708810082	6.71433360688312	1.63090909090909	0.871850649350649	0.365414853922078	0	0	0	0
WT	2020-11-01	0.407189635202304	2.89527947483117	1.63090909090909	0.80675064935065	0.365414853922078	0	0	0	0
WT	2020-11-08	0.439806669824025	3.27393460183117	1.63090909090909	0.854150649350649	0.365414853922078	0	0	0	0
WT	2020-11-15	0.473410340668171	1.96033544906494	1.63090909090909	0.944650649350649	0.365414853922078	0	0	0	0
WT	2020-11-22	0.507430340269146	3.02383634983117	1.63090909090909	1.22305064935065	0.365414853922078	0	0	0	0
WT	2020-11-29	0.541642980945069	2.14739679062338	1.63090909090909	0.965050649350649	0.365414853922078	0	0	0	0
WT	2020-12-06	0.576966608008618	2.89527947483117	1.63090909090909	1.07965064935065	0.365414853922078	0	0	0	0
WT	2020-12-13	0.611393811211892	2.89527947483117	1.63090909090909	1.22305064935065	0.365414853922078	0	0	0	0
WT	2020-12-20	0.642545405577149	2.89527947483117	1.63090909090909	1.22305064935065	0.365414853922078	0	0	0	0
WT	2020-12-27	0.673723403039022	3.13081848883117	1.63090909090909	0.94675064935065	0.365414853922078	0	0	0	0
WT	2021-01-03	0.703897193093654	3.14868592283117	1.63090909090909	1.22305064935065	0.365414853922078	0	0	0	0
WT	2021-01-10	0.735328697599812	3.18803458183117	1.16090909090909	1.22305064935065	0.365414853922078	0	0	0	0
WT	2021-01-17	0.764614500591222	3.27393460183117	1.63090909090909	1.71325064935065	0.365414853922078	0	0	0	0
WT	2021-01-24	0.789604179154405	3.18803458183117	1.63090909090909	1.22305064935065	0.365414853922078	0	0	0	0
WT	2021-01-31	0.806841961135029	3.18803458183117	1.63090909090909	1.71325064935065	0.365414853922078	0	0	0	0
WT	2021-02-07	0.822823199339042	3.25652482283117	1.21090909090909	1.71325064935065	0.365414853922078	0	0	0	0
WT	2021-02-14	0.835231382173922	3.33452003118182	1.16090909090909	1.22305064935065	0.371070084922078	0	0	0	0
WT	2021-02-21	0.845237251463982	3.27393460183117	1.21090909090909	1.15665064935065	0.371070084922078	0	0	0	0
WT	2021-02-28	0.854434157325655	3.52031477698701	1.16090909090909	1.65495064935065	0.371070084922078	0	0	0	0
WT	2021-03-07	0.863130897044671	3.26781570883117	0.970909090909091	1.65495064935065	0.371070084922078	0	0	0	0
WT	2021-03-14	0.870879967849828	3.52031477698701	1.63090909090909	1.65495064935065	0.371070084922078	0	0	0	0
WT	2021-03-21	0.878654344171937	3.27393460183117	1.21090909090909	1.65495064935065	0.371070084922078	0	0	0	0
WT	2021-03-28	0.886802783450613	3.35852646583117	1.21090909090909	1.65495064935065	0.371070084922078	0	0	0	0
WT	2021-04-04	0.896255625060516	3.36719082183117	1.21090909090909	1.65495064935065	0.371070084922078	0	0	0	0
WT	2021-04-11	0.906419989048229	3.36719082183117	1.21090909090909	1.21905064935065	0.371070084922078	0	0	0	0
WT	2021-04-25	0.925778448467758	3.52031477698701	1.21090909090909	1.15665064935065	0.399744948922078	0	0	0	0
