VOC	Date	InfectionProportion	HaploMid_AntigenicDistanceABS	HaploMid_ChangeACE2binding	HaploMid_ChangeCellEntry	HaploMid_ChangeImmuneEscape
WT	2020-02-02	1.57313687408105e-06	0.271755033116883	0.0009090909090909	-0.232850649350649	-0.001460566077922
WT	2020-02-09	3.68878750210056e-06	0.346784900064935	0.0009090909090909	0.0173506493506494	-0.001460566077922
WT	2020-02-16	8.71779309329449e-06	0.392395653064935	0.0009090909090909	0.0558506493506494	-0.001460566077922
WT	2020-02-23	2.85650237799202e-05	0.310782638636364	0.0009090909090909	0.0558506493506494	-0.001460566077922
WT	2020-03-01	0.0001030810135225	0.344431222636364	0.0009090909090909	0.0558506493506494	-0.001460566077922
WT	2020-03-08	0.0003482278001651	0.374020834064935	0.0009090909090909	0.0127506493506494	-0.001460566077922
WT	2020-03-15	0.0010716318840975	0.372949845064935	0.0009090909090909	-0.0080493506493506	-0.001460566077922
WT	2020-03-22	0.00275027987806	0.392552418064935	0.0009090909090909	-0.0082493506493506	-0.001460566077922
WT	2020-03-29	0.0056006504301894	0.397868946064935	0.0009090909090909	0.0173506493506494	-0.001460566077922
WT	2020-04-05	0.009463069559673	0.404019052064935	0.0009090909090909	-0.0134493506493506	-0.001460566077922
WT	2020-04-12	0.0137755442714219	0.400660288064935	0.0009090909090909	0.0083506493506494	-0.001460566077922
WT	2020-04-19	0.0183071722373007	0.412208048064935	0.0009090909090909	-0.0080493506493506	-0.001460566077922
WT	2020-04-26	0.0229007202178504	0.424161283064935	0.0009090909090909	0.0147506493506494	-0.001460566077922
WT	2020-05-03	0.0277184235168321	0.436744084064935	0.0009090909090909	0.0201506493506494	-0.001460566077922
WT	2020-05-10	0.0327394572697012	0.424161283064935	0.0009090909090909	0.0026506493506494	-0.001460566077922
WT	2020-05-17	0.0381890708494009	0.433000610064935	0.0009090909090909	0.0147506493506494	-0.001460566077922
WT	2020-05-24	0.0440725621986863	0.407781433064935	0.0009090909090909	-0.0080493506493506	-0.001460566077922
WT	2020-05-31	0.0506340734270367	0.435164317064935	0.0009090909090909	0.0403506493506494	-0.001460566077922
WT	2020-06-07	0.0577884093828353	0.431454901064935	0.0009090909090909	0.0173506493506494	-0.001460566077922
WT	2020-06-14	0.0658165674020525	0.431454901064935	0.0009090909090909	-0.0080493506493506	-0.001460566077922
WT	2020-06-21	0.0747520640732224	0.434550055064935	0.0009090909090909	0.0161506493506494	-0.001460566077922
WT	2020-06-28	0.0849187451298766	0.431454901064935	0.0009090909090909	-0.0024493506493506	-0.001460566077922
WT	2020-07-05	0.0962289090084784	0.434550055064935	0.0009090909090909	-0.0082493506493506	-0.001460566077922
WT	2020-07-12	0.108712681422382	0.434722207064935	0.0009090909090909	-0.0082493506493506	-0.001460566077922
WT	2020-07-19	0.122356259894192	0.450873504064935	0.0009090909090909	-0.0080493506493506	-0.001460566077922
WT	2020-07-26	0.137248701553381	0.442636494220779	0.0009090909090909	-0.0082493506493506	-0.001460566077922
WT	2020-08-02	0.152890215371719	0.449980612064935	0.0009090909090909	0.0173506493506494	-0.001460566077922
WT	2020-08-09	0.168955658572995	0.449490417064935	0.0009090909090909	-0.0082493506493506	-0.001460566077922
WT	2020-08-16	0.184942031546973	0.455884570064935	0.0009090909090909	0.0074506493506494	-0.001460566077922
WT	2020-08-23	0.201065042801596	0.458684340064935	0.0009090909090909	-0.0080493506493506	-0.001460566077922
WT	2020-08-30	0.217482950986339	0.460472967064935	0.0009090909090909	-0.0221493506493506	-0.001460566077922
WT	2020-09-06	0.234288431135776	0.466076116064935	0.0009090909090909	-0.0095493506493506	-0.001460566077922
WT	2020-09-13	0.251701561421753	0.456914351064935	0.0009090909090909	-0.0134493506493506	-0.001460566077922
WT	2020-09-20	0.269477863537581	0.465424367064935	0.0009090909090909	-0.0220493506493506	-0.001460566077922
WT	2020-09-27	0.287762101124902	0.472546197064935	0.0009090909090909	-0.0346493506493506	-0.001460566077922
WT	2020-10-04	0.306834658948978	0.471634473064935	0.0009090909090909	-0.0346493506493506	-0.001460566077922
WT	2020-10-11	0.327325768843035	0.470747871064935	0.0009090909090909	-0.0270493506493506	-0.001460566077922
WT	2020-10-18	0.350551768306467	0.476565571064935	0.0009090909090909	-0.0346493506493506	-0.001460566077922
WT	2020-10-25	0.377106708810082	0.476755020064935	0.0009090909090909	-0.0183493506493506	-0.001460566077922
WT	2020-11-01	0.407189635202304	0.482521469064935	0.0009090909090909	-0.0280493506493506	-0.001460566077922
