VOC	Date	TotalHaploCount	InfectionProportion	AntigenicDistanceABS	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	Type
WT	2020-02-02	1	1.57E-06	1.021542259	0.267662338	0.055850649	0.0944078	All
WT	2020-02-09	1	3.69E-06	0.496649007	0.620909091	0.212950649	0	All
WT	2020-02-16	1	8.72E-06	0.902839151	0.000909091	0.244150649	0	All
WT	2020-02-23	1	2.86E-05	0.510454971	0.000909091	0.563650649	0	All
WT	2020-03-01	1	0.000103081	0.542192449	0.170909091	0.244150649	0.008021804	All
WT	2020-03-08	1	0.000348228	2.539328213	0.540909091	0.911850649	0.260546934	All
WT	2020-03-15	1	0.001071632	0.741206035	0.260909091	0.781550649	0.010225985	All
WT	2020-03-22	1	0.00275028	2.406718936	0.620909091	0.965050649	0.260546934	All
WT	2020-03-29	1	0.00560065	0.847749085	0.900909091	0.781550649	0.09499289	All
WT	2020-04-05	1	0.00946307	0.847749085	0.900909091	0.781550649	0.09499289	All
WT	2020-04-12	1	0.013775544	1.021542259	0.900909091	0.781550649	0.09499289	All
WT	2020-04-19	1	0.018307172	2.383633553	0.620909091	1.713250649	0.260546934	All
WT	2020-04-26	1	0.02290072	1.351904004	0.900909091	0.781550649	0.095719636	All
WT	2020-05-03	1	0.027718424	3.019005843	0.880909091	0.721650649	0.342005954	All
WT	2020-05-10	1	0.032739457	2.250032276	1.210909091	0.740350649	0.289747811	All
WT	2020-05-17	1	0.038189071	1.978595677	0.620909091	0.740350649	0.101477233	All
WT	2020-05-24	1	0.044072562	2.383633553	0.880909091	0.965050649	0.260546934	All
WT	2020-05-31	1	0.050634073	1.479119843	0.900909091	0.740350649	0.260546934	All
WT	2020-06-07	1	0.057788409	2.072992775	0.900909091	0.740350649	0.101477233	All
WT	2020-06-14	1	0.065816567	2.311768301	1.630909091	0.965050649	0.101477233	All
WT	2020-06-21	1	0.074752064	1.978595677	1.630909091	0.751950649	0.101477233	All
WT	2020-06-28	1	0.084918745	0.847749085	1.630909091	0.740350649	0.260546934	All
WT	2020-07-05	1	0.096228909	1.035045837	1.630909091	1.713250649	0.260546934	All
WT	2020-07-12	1	0.108712681	2.297401244	1.630909091	1.713250649	0.260546934	All
WT	2020-07-19	1	0.12235626	2.015597411	1.630909091	0.965050649	0.260546934	All
WT	2020-07-26	1	0.137248702	2.072992775	1.630909091	0.965050649	0.260546934	All
WT	2020-08-02	1	0.152890215	2.11233876	0.900909091	0.740350649	0.260546934	All
WT	2020-08-09	1	0.168955659	3.276210076	1.630909091	0.965050649	0.342005954	All
WT	2020-08-16	1	0.184942032	2.473427687	1.630909091	0.965050649	0.365414854	All
WT	2020-08-23	1	0.201065043	2.214994536	1.630909091	0.689350649	0.260546934	All
WT	2020-08-30	1	0.217482951	6.714333607	1.630909091	1.713250649	0.365414854	All
WT	2020-09-06	1	0.234288431	6.714333607	1.630909091	0.965050649	0.35568422	All
WT	2020-09-13	1	0.251701561	6.714333607	1.630909091	0.965050649	0.35568422	All
WT	2020-09-20	1	0.269477864	6.714333607	1.630909091	0.965050649	0.35568422	All
WT	2020-09-27	1	0.287762101	2.348770035	1.630909091	0.921450649	0.263200474	All
WT	2020-10-04	1	0.306834659	6.714333607	1.630909091	0.921450649	0.35568422	All
WT	2020-10-11	1	0.327325769	6.714333607	1.630909091	0.921450649	0.35568422	All
WT	2020-10-18	1	0.350551768	2.147396791	1.630909091	1.713250649	0.365414854	All
WT	2020-10-25	1	0.377106709	6.714333607	1.630909091	0.871850649	0.365414854	All
WT	2020-11-01	1	0.407189635	2.895279475	1.630909091	0.806750649	0.365414854	All
