VOC	Date	InfectionProportion	HaploMax_AntigenicDistanceABS	HaploMax_ChangeACE2binding	HaploMax_ChangeCellEntry	HaploMax_ChangeImmuneEscape	AdvHaploMax_AntigenicDistanceABS	AdvHaploMax_ChangeACE2binding	AdvHaploMax_ChangeCellEntry	AdvHaploMax_ChangeImmuneEscape	Cha_AntigenicDistanceABS	Cha_ChangeACE2binding	Cha_ChangeCellEntry	Cha_ChangeImmuneEscape
Alpha	2020-11-15	0.00308411	0.375753944	0.201953255	0.438783639	0.023691546	0.268277225	0.001953255	0.254497997	0	0.107476719	0.2	0.184285643	0.023691546
Alpha	2020-11-22	0.005215636	0.375753944	0.201953255	0.355083639	0.023691546	0.201338986	0.001953255	0.254497997	0	0.174414958	0.2	0.100585643	0.023691546
Alpha	2020-11-29	0.007850183	0.393579831	0.201953255	0.338383639	0.023691546	0.393579831	0.001953255	0.254497997	0	0	0.2	0.083885643	0.023691546
Alpha	2020-12-06	0.009941754	0.430508205	0.201953255	0.573683639	0.023691546	0.430508205	0.001953255	0.254497997	3.94E-05	0	0.2	0.319185643	0.023652108
Alpha	2020-12-13	0.016507336	0.690479319	0.381953255	0.975083639	0.023691546	0.690479319	0.001953255	0.419783639	0.003628019	0	0.38	0.5553	0.020063528
Alpha	2020-12-20	0.028726601	0.539369757	0.221953255	0.931483639	0.333814023	0.430508205	0.221953255	0.573683639	0.040952604	0.108861552	0	0.3578	0.292861419
Alpha	2020-12-27	0.040115993	0.690479319	0.381953255	0.643283639	0.090545861	0.430508205	0.221953255	0.573683639	0.090545861	0.259971114	0.16	0.0696	0
Alpha	2021-01-03	0.055832964	0.720981502	0.381953255	0.931483639	0.333814023	0.720981502	0.221953255	0.573683639	0.333814023	0	0.16	0.3578	0
Alpha	2021-01-10	0.072997055	0.861822905	0.431953255	0.791583639	0.333814023	0.672000813	0.141953255	0.698883639	0.090545861	0.189822092	0.29	0.0927	0.243268162
Alpha	2021-01-17	0.094153292	0.720981502	0.681953255	0.975083639	0.333814023	0.720981502	0.221953255	0.573683639	0.333814023	0	0.46	0.4014	0
Alpha	2021-01-24	0.116574844	0.826023034	0.471953255	0.791583639	0.333814023	0.720981502	0.261953255	0.573683639	0.333814023	0.105041532	0.21	0.2179	0
Alpha	2021-01-31	0.144327018	0.901899332	0.681953255	0.888483639	0.333814023	0.720981502	0.261953255	0.573683639	0.333814023	0.18091783	0.42	0.3148	0
Alpha	2021-02-07	0.166337537	0.720981502	0.431953255	0.920683639	0.333814023	0.720981502	0.261953255	0.573683639	0.333814023	0	0.17	0.347	0
Alpha	2021-02-14	0.188130339	0.829438995	0.381953255	0.931483639	0.333814023	0.829438995	0.321953255	0.639183639	0.333814023	0	0.06	0.2923	0
