Date	WT	BA.1	BA.2	BA.2.86	BA.4/5	BQ.1	Alpha	Delta	XBB
2020-01-12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-01-19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-01-26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-02-02	1	0	0	0	0	0	0	0	0
2020-02-09	20	0	0	0	0	0	0	0	0
2020-02-16	11	0	0	0	0	0	0	0	0
2020-02-23	3	0	0	0	0	0	0	0	0
2020-03-01	33	0	0	0	0	0	0	0	0
2020-03-08	311	0	0	0	0	0	0	0	0
2020-03-15	1901	0	0	0	0	0	0	0	0
2020-03-22	5455	0	0	0	0	0	0	0	0
2020-03-29	16046	0	0	0	0	0	0	0	0
2020-04-05	28818	0	0	0	0	0	0	0	0
2020-04-12	32630	0	0	0	0	0	0	0	0
2020-04-19	30969	0	0	0	0	0	0	0	0
2020-04-26	33482.8924137931	0	0	0	0	0	0	0	0
2020-05-03	31851	0	0	0	0	0	0	0	0
2020-05-10	24027	0	0	0	0	0	0	0	0
2020-05-17	20019	0	0	0	0	0	0	0	0
2020-05-24	16906	0	0	0	0	0	0	0	0
2020-05-31	11713	0	0	0	0	0	0	0	0
2020-06-07	8884	0	0	0	0	0	0	0	0
2020-06-14	7052	0	0	0	0	0	0	0	0
2020-06-21	6892	0	0	0	0	0	0	0	0
2020-06-28	5270	0	0	0	0	0	0	0	0
2020-07-05	4275	0	0	0	0	0	0	0	0
2020-07-12	4283	0	0	0	0	0	0	0	0
2020-07-19	4340	0	0	0	0	0	0	0	0
2020-07-26	4969	0	0	0	0	0	0	0	0
2020-08-02	5524	0	0	0	0	0	0	0	0
2020-08-09	6418	0	0	0	0	0	0	0	0
2020-08-16	7797	0	0	0	0	0	0	0	0
2020-08-23	7728	0	0	0	0	0	0	0	0
2020-08-30	8854	0	0	0	0	0	0	0	0
2020-09-06	15523	0	0	0	0	0	0	0	0
2020-09-13	22634	0	0	0	0	0	0	0	0
2020-09-20	25850	0	0	0	0	0	0	0	0
