Date	WT	BA.1	BA.2	BA.2.86	BA.4/5	BQ.1	Alpha	Delta	XBB
2020-01-12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-01-19	0	0	0	0	0	0	0	0	0
2020-01-26	7	0	0	0	0	0	0	0	0
2020-02-02	2	0	0	0	0	0	0	0	0
2020-02-09	11	0	0	0	0	0	0	0	0
2020-02-16	4	0	0	0	0	0	0	0	0
2020-02-23	16	0	0	0	0	0	0	0	0
2020-03-01	33	0	0	0	0	0	0	0	0
2020-03-08	391	0	0	0	0	0	0	0	0
2020-03-15	3465	0	0	0	0	0	0	0	0
2020-03-22	27465.3803450863	0	0	0	0	0	0	0	0
2020-03-29	94711.3358999038	0	0	0	0	0	0	0	0
2020-04-05	176031.291539246	0	0	0	0	0	0	0	0
2020-04-12	219078.655877342	0	0	0	0	0	0	0	0
2020-04-19	195858.543833581	0	0	0	0	0	291.456166419019	0	0
2020-04-26	204288.761439902	0	0	0	0	0	876.238560097621	0	0
2020-05-03	198436	0	0	0	0	0	0	0	0
2020-05-10	182246	0	0	0	0	0	0	0	0
2020-05-17	169032	0	0	0	0	0	0	0	0
2020-05-24	166189.335236542	0	0	0	0	0	135.664763458401	0	0
2020-05-31	146436	0	0	0	0	0	0	0	0
2020-06-07	149780	0	0	0	0	0	0	0	0
2020-06-14	151876	0	0	0	0	0	0	0	0
2020-06-21	180021	0	0	0	0	0	0	0	0
2020-06-28	258278	0	0	0	0	0	0	0	0
2020-07-05	342166	0	0	0	0	0	0	0	0
2020-07-12	390679.701840809	101.686543946072	0	0	0	0	203.373087892144	0	0
2020-07-19	461320.641809672	0	0	0	0	0	0	4946.35819032761	0
2020-07-26	467901	0	0	0	0	0	0	0	0
2020-08-02	430498.366013072	0	0	0	0	0	187.908496732026	563.725490196078	0
2020-08-09	375909	0	0	0	0	0	0	0	0
2020-08-16	362662	0	0	0	0	0	0	0	0
2020-08-23	315448.80773362	0	169.596133190118	0	0	0	0	169.596133190118	0
2020-08-30	294946	0	0	0	0	0	0	0	0
2020-09-06	294952.33503055	0	150.332484725051	0	150.332484725051	0	0	0	0
2020-09-13	245621	0	0	0	0	0	0	0	0
2020-09-20	280977	0	0	0	0	0	0	0	0
2020-09-27	304634.897307166	0	0	0	0	0	0	0	0
2020-10-04	298348	0	0	0	0	0	0	0	0
2020-10-11	334130.765475769	0	0	0	118.234524230633	0	0	0	0
2020-10-18	387634	0	0	0	0	0	0	0	0
2020-10-25	449438	0	0	0	0	0	0	0	0
2020-11-01	559230.863808691	0	0	0	0	0	163.13619130942	0	0
2020-11-08	789900.917399804	0	0	0	0	0	0	193.082600195503	0
2020-11-15	1004624.54256253	0	0	0	0	0	220.457437472576	0	0
2020-11-22	1175483	0	0	0	0	0	0	0	0
2020-11-29	1162059.71961245	0	0	0	0	0	341.28038755138	0	0
2020-12-06	1280472.80229432	0	0	0	0	0	0	459.197705682022	0
2020-12-13	1468308.68688776	0	0	0	0	0	173.313112238876	0	0
2020-12-20	1515988.15591054	0	0	0	0	0	1551.8752715655	193.984408945687	0
2020-12-27	1355259.59761668	0	0	0	0	0	4862.40238331678	0	0
2021-01-03	1363947.78360696	511.416491791137	0	0	0	0	15172.0225898037	1363.77731144303	0
2021-01-10	1646104.08468596	3791.05928016937	0	0	0	0	16994.4036697248	261.452364149612	0
2021-01-17	1564428.19954128	270.124872579001	0	0	0	0	22690.4892966361	2566.18628950051	0
2021-01-24	1238247.76923791	235.006219251833	0	0	0	0	27143.2183235867	235.006219251833	0
2021-01-31	1018859.98290498	251.974770101391	0	0	0	0	49513.0423249234	0	0
2021-02-07	797529.403038215	0	0	0	0	0	59720.5969617849	0	0
2021-02-14	613760.270486342	0	0	0	0	0	56662.8127914723	148.91672218521	0
2021-02-21	418267.312676056	53.3504225352113	0	0	0	0	55110.9864788732	53.3504225352113	0
2021-02-28	373103.538164996	0	0	0	0	0	92333.2504818813	89.7746723207402	0
2021-03-07	313107.203834969	76.4701926572155	0	38.2350963286078	0	0	107325.915394402	38.2350963286078	0
2021-03-14	248964.918142332	32.0748412963582	0	0	0	0	134746.408286001	32.0748412963582	0
2021-03-21	212162.029985856	80.5270862800566	0	0	0	0	166986.334582744	134.211810466761	0
2021-03-28	207970.710002428	76.0775673707211	0	0	0	0	209517.620538966	50.7183782471474	0
2021-04-04	188317.620380473	21.3463636794914	0	0	0	0	260660.44689027	448.27363726932	0
2021-04-11	160350.1990072	0	0	0	0	0	294233.643396986	509.760296945575	0
2021-04-18	158570.868126048	0	0	0	0	0	306542.851178392	1649.63191808633	0
2021-04-25	123890.213076923	0	0	0	0	0	278518.693846154	3061.33153846154	0
2021-05-02	94457.3372164631	17.3666735091861	0	0	0	0	239660.094426768	3282.30129323617	0
2021-05-09	81973.1949956357	0	0	0	0	0	205536.857259238	3895.3852778586	0
2021-05-16	65746.2306073127	36.3841896000624	0	0	0	0	161636.762298277	4202.3738988072	0
2021-05-23	51176.6517017465	20.3324003582624	0	0	0	0	121242.103336319	6587.69771607703	0
2021-05-30	43859.7530333282	45.403471048994	0	0	0	0	94779.745814775	8376.94040853939	0
2021-06-06	28320.4534726253	19.1743083768621	0	0	0	0	58232.3745405301	12079.8142774231	0
2021-06-13	25883.5076660988	0	0	0	0	0	50257.426746167	22813.4454855196	0
2021-06-20	17674.9091205212	26.2628664495114	0	0	0	0	33170.0003257329	28928.5473941368	0
2021-06-27	16051.8724663412	25.9319425950584	0	0	0	0	23792.5573309661	47183.1695517088	0
2021-07-04	12765.2191278857	0	0	0	0	0	16961.0293147673	66492.9241480396	0
2021-07-11	25730.993902439	24.9573170731707	24.9573170731707	0	0	0	26205.1829268293	232652.109756098	0
2021-07-18	13773.0838662525	0	0	0	0	0	11739.6561300932	195954.652841221	0
2021-07-25	12339.9683687883	0	0	0	0	0	8559.60446004366	337297.5911912	0
2021-08-01	12299.8674475354	0	0	0	0	0	7458.24089799902	526687.088140556	0
2021-08-08	8834.61779375942	21.547848277462	0	0	0	0	4675.88307620926	728726.680895488	0
2021-08-15	7741.44534178291	0	34.254182928243	0	0	0	3356.90992696781	874577.7985239	0
2021-08-22	6856.66376822184	0	0	0	0	0	2347.66205107596	1010538.08731869	0
2021-08-29	3178.88970465543	36.5389621224762	0	0	0	0	694.240280327048	1090761.09728016	0
2021-09-05	2278.89557863774	0	0	0	0	0	596.018843643717	1141130.66605387	0
2021-09-12	1588.23620775348	0	0	0	0	0	508.235586481113	1020441.76348161	0
2021-09-19	3719.0476837974	0	0	0	0	0	609.154362001298	1033093.73719831	0
2021-09-26	789.301656277827	0	0	0	0	0	91.073268032057	851352.909563669	0
2021-10-03	729.293196243643	196.348168219442	28.0497383170632	0	0	0	0	754678.209420586	0
2021-10-10	461.929557476455	21.9966455941169	0	0	0	0	65.9899367823507	681390.090568959	21.9966455941169
2021-10-17	252.132510555375	0	0	0	0	0	63.0331276388438	581900.82331926	0
2021-10-24	256.775056803837	18.3410754859884	0	0	0	0	36.6821509719768	508231.201716738	0
2021-10-31	241.829295515725	51.8205633247981	0	0	0	0	0	525892.350141159	0
2021-11-07	105.281873655042	0	0	0	195.523479645079	0	15.040267665006	509895.154379035	0
2021-11-14	124.568649917559	0	0	0	15.5710812396948	0	15.5710812396948	557008.718106363	0
2021-11-21	166.196304708121	20.7745380885151	0	41.5490761770303	20.7745380885151	0	20.7745380885151	676585.156466761	0
2021-11-28	92.90268956324	325.15941347134	0	0	0	0	0	591975.937896965	0
2021-12-05	431.879582506685	4469.95367894419	0	0	0	21.5939791253343	86.375916501337	745964.008884672	0
2021-12-12	1286.06170433471	48791.6062930249	209.969257850564	0	0	0	0	784602.624273096	0
2021-12-19	3099.55369928401	245659.499602228	1165.64412622647	0	52.9838239193848	0	0	649104.826836383	0
2021-12-26	8471.32735674676	907698.35961183	6025.99574861368	0	0	0	0	495179.65064695	0
2022-01-02	6526.5631247686	2292831.83006294	14344.0947797112	0	0	0	0	398335.512032581	0
2022-01-09	7289.20658858353	4349266.42958483	32144.2061037536	0	716.971139860675	358.485569930338	0	279140.763785756	0
2022-01-16	6249.68781297042	5442089.26558324	42532.5976160487	0	0	0	0	160061.448987742	0
2022-01-23	10584.9065216106	4921385.19978715	44575.8739431207	0	447.249571335659	0	0	65894.7701767871	0
2022-01-30	13847.4727225268	3708649.92665101	42160.6089141216	0	123.638149308275	123.638149308275	123.638149308275	24109.4391151135	123.638149308275
2022-02-06	4694.38486616335	2137822.86805079	34362.8972203157	0	93.887697323267	93.887697323267	0	11548.1867707618	0
2022-02-13	2019.20800214343	1185384.24363669	32034.4620880593	54.5731892471198	0	0	0	2510.36670536751	0
2022-02-20	864.82179426961	676822.841146078	29503.7281352748	0	0	33.2623767026773	0	864.82179426961	0
2022-02-27	453.180385085219	420018.243964865	36760.9265313245	0	26.6576697108952	0	26.6576697108952	586.468733639695	53.3153394217905
2022-03-06	466.00345697468	282522.362515183	48837.1622909465	0	31.0668971316453	0	0	434.936559843035	0
2022-03-13	179.741836511067	166209.843962305	67582.9305281613	0	0	0	25.6774052158668	205.419241726934	25.6774052158668
2022-03-20	134.598602901666	105323.406770553	102878.19881784	0	0	0	0	157.031703385277	0
2022-03-27	116.559293101717	65117.7917461593	127768.411788332	38.8530977005723	0	0	38.8530977005723	135.985841952003	0
2022-04-03	96.2296082474227	35909.6821443299	157752.404453608	0	48.1148041237113	0	0	112.26787628866	0
2022-04-10	62.4587110393642	21173.5030423445	179356.434620638	0	74.950453247237	0	0	37.4752266236185	0
2022-04-17	43.2326068003487	13402.1081081081	233441.66585295	0	288.217378668992	0	0	72.0543446672479	0
2022-04-24	54.1937285997477	9538.0962335556	288942.896317655	0	830.970505196131	0	0	54.1937285997477	0
2022-05-01	0	5608.42183239879	369221.103966253	0	2161.5792479037	0	0	77.8947476722054	0
2022-05-08	88.9509073543458	3135.51948424069	456295.917000955	0	4336.35673352436	0	0	0	0
2022-05-15	72.7080245182485	2302.4207764112	586996.117943993	0	13135.9164296302	0	0	24.2360081727495	48.472016345499
2022-05-22	254.89531117452	1727.62377573841	697421.893074728	0	32569.9564278553	0	0	56.6434024832267	56.6434024832267
2022-05-29	243.969990850869	704.8021957914	677043.832387923	0	60721.4199451052	0	0	0	0
2022-06-05	316.218417254963	737.842973594914	568244.495807169	0	104826.40532002	0	0	79.0546043137408	0
2022-06-12	243.53304608194	270.592273424377	545054.016358723	0	189252.23603301	0	0	0	0
2022-06-19	218.194092827004	342.876431585292	384520.332730561	0	279693.65641953	0	0	62.3411693791441	0
2022-06-26	111.147071107863	333.441213323588	300393.48418085	0	407502.211705127	0	0	0	0
2022-07-03	498.350364963504	166.116788321168	214888.677372263	0	551773.524087591	0	0	66.4467153284671	0
2022-07-10	292.546019509125	29.2546019509125	133547.257905916	0	609110.06721995	0	0	0	0
2022-07-17	310.710812607129	217.49756882499	96941.7735334243	0	789951.169972365	0	0	0	0
