Date	WT	BA.1	BA.2	BA.2.86	BA.4/5	BQ.1	Alpha	Delta	XBB
2020-01-12	1	0	0	0	0	0	0	0	0
2020-01-19	15.3333333333333	0	0	0	0	0	0	0	0
2020-01-26	43.0980392156863	0	0	0	0	0	9.23529411764706	0	0
2020-02-02	122	0	0	0	0	0	0	0	0
2020-02-09	244	0	0	0	0	0	0	0	0
2020-02-16	580	0	0	0	0	0	0	0	0
2020-02-23	2289	0	0	0	0	0	0	0	0
2020-03-01	8594	0	0	0	0	0	0	0	0
2020-03-08	28273.0121640181	0	0	0	0	0	0	0	0
2020-03-15	83430.8813287973	0	0	0	0	0	0	0	0
2020-03-22	193600.07040022	0	0	0	0	0	40.0745333057794	0	0
2020-03-29	328735.947943655	0	29.3986717889157	0	0	0	0	0	0
2020-04-05	445456.473347974	0	0	0	0	0	0	0	0
2020-04-12	497361.811884669	0	0	0	0	0	58.4375293014534	0	0
2020-04-19	522636.96521079	0	0	0	0	0	210.373124330118	0	0
2020-04-26	529778.259420533	0	0	0	0	0	710.992463573941	0	0
2020-05-03	555630.305582137	0	0	0	0	0	0	0	0
2020-05-10	579080.600300687	0	0	0	0	0	124.399699312715	0	0
2020-05-17	628509.119528619	0	0	0	0	0	302.822991822992	757.05747955748	0
2020-05-24	678548.655535577	0	0	0	0	0	174.344464423324	0	0
2020-05-31	756745.333333333	0	0	0	0	0	0	0	0
2020-06-07	825116.373230769	0	0	0	0	0	0	0	0
2020-06-14	925895.103258476	0	0	0	0	0	0	0	0
2020-06-21	1030539.33333333	0	0	0	0	0	0	0	0
2020-06-28	1172533	0	0	0	0	0	0	0	0
2020-07-05	1304411.96189477	0	0	0	684.371438559692	0	0	0	0
2020-07-12	1439765.35097568	231.547981823042	0	0	0	0	463.095963646084	463.095963646084	0
2020-07-19	1573526.88720539	0	0	0	0	0	228.212746512746	7759.23338143338	0
2020-07-26	1717559.46691616	0	0	0	267.86641717345	0	0	0	0
2020-08-02	1803950.6717833	0	0	0	0	0	271.761173814898	1358.80586907449	0
2020-08-09	1852842.85089216	0	0	0	0	0	0	0	0
2020-08-16	1843723.60634139	0	0	0	1070.53192413494	0	0	3746.86173447227	0
2020-08-23	1859482.22926141	0	291.82081438503	0	0	0	291.82081438503	583.641628770059	0
2020-08-30	1893492.97281058	0	0	0	284.564618697111	0	569.129237394222	0	0
2020-09-06	1938192.01627876	0	260.825193954886	0	260.825193954886	0	0	0	0
2020-09-13	2008272.88471346	0	0	0	0	0	0	4051.11528653872	0
2020-09-20	2050157.83741296	0	0	0	0	0	525.951215344526	788.926823016788	0
2020-09-27	2108738.5186479	216.881468543443	216.881468543443	0	0	0	650.64440563033	216.881468543443	0
2020-10-04	2199656.24165029	0	0	0	0	0	720.568762278978	0	0
2020-10-11	2363259.20165299	0	0	0	208.713168034354	0	834.852672137416	0	0
2020-10-18	2678676.61797372	0	0	0	0	0	1365.62662144977	1365.62662144977	0
2020-10-25	3062606.5556711	0	0	0	0	0	7072.99435489861	0	0
2020-11-01	3469492.52513084	0	0	0	0	0	8955.27988496813	271.372117726307	0
2020-11-08	3761753.63847764	0	0	0	0	0	41246.3613354269	641.135150291611	0
2020-11-15	3875543.33280779	0	210.512945834209	0	210.512945834209	0	126097.254554691	842.051783336837	0
2020-11-22	3923558.92447533	0	0	0	0	0	131953.786738729	854.992138695866	0
2020-11-29	3945776.40294985	0	0	0	0	0	163093.708112094	0	0
2020-12-06	4073907.5201533	0	0	0	0	0	129480.350865601	1111.41932073477	0
2020-12-13	3970522.10338832	0	0	185.677240150969	0	0	406447.478690471	742.708960603876	0
2020-12-20	3592743.0193133	0	0	0	0	0	756443.204935622	482.938841201717	0
2020-12-27	3595788.1135688	0	0	0	0	0	705069.24252196	0	0
2021-01-03	3479971.91777459	1178.33906179181	0	0	0	0	972971.396736667	2525.01227526817	0
2021-01-10	3625025.32220171	7772.90827432287	0	0	0	0	1062556.56109994	5570.58426326473	0
2021-01-17	3377559.52484137	856.968961321165	0	0	122.424137331595	0	1309693.4211734	6610.90341590613	0
2021-01-24	2882083.40671284	227.544876576097	0	0	0	0	1388023.74711419	682.63462972829	0
2021-01-31	1988049.79781077	448.405313472296	0	0	0	0	1718020.11803776	1434.89700311135	0
2021-02-07	1843131.40843551	175.930072871236	0	0	0	0	1362578.41438773	703.720291484946	0
2021-02-14	1431047.53290242	137.494958964491	0	0	0	0	1349100.53735958	6049.77819443759	0
2021-02-21	1153986.42594412	478.609124762971	0	0	0	0	1462569.65913504	1376.00123369354	0
2021-02-28	1060687.90400842	55.218278099246	0	0	0	0	1562511.61537436	662.619337190952	0
2021-03-07	1003003.26686087	279.980813661477	0	55.9961627322953	0	55.9961627322953	1780565.98256153	3023.79278754395	0
2021-03-14	893707.709305706	157.472285205986	52.4907617353287	0	0	0	2094066.4486692	21048.7954558668	0
2021-03-21	896626.218654213	162.461717458636	0	0	0	0	2470338.7217702	6011.08354596954	0
2021-03-28	939767.255361092	169.22579628351	0	0	0	0	2811686.60525052	5302.40828354998	0
2021-04-04	1090205.2173782	62.8143130547477	0	0	0	0	3063705.30493226	12625.6769240043	0
2021-04-11	1172265.77023429	0	0	0	0	0	3422647.28878239	37093.8020056798	0
2021-04-18	1126403.09888636	0	0	0	0	0	3964621.50186109	68926.9387121566	0
2021-04-25	1106226.44580686	0	0	0	0	0	4296900.21208928	133578.723164203	0
2021-05-02	1100278.84370422	268.360693586396	89.4535645287986	0	0	0	4334293.56211388	176312.975686262	0
2021-05-09	976439.045225609	921.342748844696	184.268549768939	0	0	0	4046168.81582637	293539.79978192	0
2021-05-16	814188.407735751	195.061908896922	0	0	0	0	3681793.5304294	323120.052087751	0
2021-05-23	701329.114247963	92.2558687513764	0	0	0	0	2960306.31649416	514049.700682669	0
2021-05-30	557446.138498335	173.875900966418	0	0	0	0	2196052.62920586	827475.412699182	0
2021-06-06	509992.50879567	82.9256111862878	0	0	0	0	1562650.21719441	987146.47556157	0
2021-06-13	461466.777581016	80.5211616787675	0	0	0	0	1225371.03842748	1035260.57570391	0
2021-06-20	473873.291760494	180.454414227149	0	0	0	0	976889.971418673	1144983.25827126	0
2021-06-27	368541.312745669	146.624751440489	0	0	0	0	638477.48014761	1628634.42662523	0
2021-07-04	345361.949636978	0	1217.96925812414	0	135.329917569349	0	443679.134751109	2094704.12909716	0
2021-07-11	287059.087864726	63.8050873226775	63.8050873226775	0	0	0	364454.658787134	2559222.05251259	0
2021-07-18	336392.683787051	0	0	0	0	0	286378.846734378	2920462.27757633	0
2021-07-25	195602.052690351	0	0	53.9889739691834	0	0	193334.515783646	3441473.15669163	0
2021-08-01	147046.551529772	0	0	0	0	0	142277.724449304	3814691.2700381	0
2021-08-08	314191.769845639	133.395883036643	0	0	0	0	69988.3732998919	3973552.09860117	0
2021-08-15	145899.827364197	0	48.8612951655046	0	0	0	122153.237913762	4243261.45605792	0
2021-08-22	232243.844241617	37.0463940407748	0	0	0	0	29414.8368683752	4300086.09549485	0
2021-08-29	55619.4603986606	93.0091311014391	0	0	139.513696652159	0	20694.5316700702	4431466.55589362	0
2021-09-05	42020.5600894218	44.8458485479421	0	0	0	0	11749.6123195608	4230353.73937593	0
2021-09-12	31155.9571601864	47.7852103683841	0	0	0	0	7215.566765626	3952410.31998979	0
2021-09-19	29030.7531401394	0	0	0	0	0	4174.05012838838	3673164.11298177	0
2021-09-26	21245.3054915994	0	0	0	47.6352141067251	0	2334.12549122953	3409299.90883242	0
2021-10-03	15210.8210447055	307.733373736817	43.961910533831	0	43.961910533831	0	1494.70495815026	3173566.35952673	0
2021-10-10	7599.00008229704	38.7704085831482	0	0	0	0	1395.73470899333	2974349.43527338	38.7704085831482
2021-10-17	6388.93167561138	167.030893480036	0	0	0	0	1837.3398282804	2940203.0602057	0
2021-10-24	3891.70008751843	72.0685201392302	0	0	0	0	504.479640974612	3000500.76747671	0
2021-10-31	3737.73121545842	240.037784478981	0	0	68.5822241368518	34.2911120684259	308.620008615833	3099573.61986502	0
2021-11-07	3165.28164200832	202.039253745212	33.6732089575353	0	437.751716447959	0	67.3464179150707	3257478.88813405	0
2021-11-14	2602.4253341099	560.01557822618	0	0	32.9420928368341	0	197.652557021005	3503193.92064029	0
2021-11-21	2352.59622233153	3360.8517461879	74.6855943597311	74.6855943597311	74.6855943597311	0	149.371188719462	3789547.05781276	0
2021-11-28	3949.47103885212	15712.0260893465	85.8580660620027	0	42.9290330310014	0	214.645165155007	4040695.234043	42.9290330310014
2021-12-05	5238.25980334084	34993.000863134	285.07536344712	0	0	71.2688408617801	249.44094301623	4169583.53461844	0
2021-12-12	6335.99520381451	174384.809171653	2401.88053477936	0	0	41.4117333582648	248.470400149589	4245572.31562266	0
2021-12-19	14714.8724926536	951461.243100805	8382.65277245432	0	241.227417912355	0	422.147981346621	4059374.9886291	0
2021-12-26	34335.0488052595	3477108.28606392	48448.2283755196	0	105.322235598956	0	105.322235598956	3525661.83667504	0
2022-01-02	56675.092102466	7860218.60262543	250633.11455676	0	146.826663477891	440.479990433673	293.653326955782	2881766.92408057	0
2022-01-09	48615.7671982291	13102201.5908944	706526.720527896	0	3532.63360263948	1850.42712519211	168.220647744737	2018984.21423234	336.441295489474
2022-01-16	44432.4878550591	18125841.3691079	1117159.69464149	0	3360.44025794565	560.073376324274	186.691125441425	967993.485413788	373.38225088285
2022-01-23	23887.7426958166	20132852.8734813	1926254.90510125	0	1692.83215954606	376.184924343569	188.092462171785	444086.303187583	0
2022-01-30	30321.0563722439	19533806.7464031	2498711.2793521	0	3202.92849002576	2135.28566001717	213.528566001717	219080.308717762	213.528566001717
2022-02-06	18557.0080081679	16244804.8103502	3355478.18803692	0	2041.27088089847	371.140160163358	185.570080081679	102434.684205087	185.570080081679
2022-02-13	10669.7895157042	12397499.1642993	3739522.34936964	159.25058978663	1911.00707743956	0	637.002359146519	49686.1840134285	0
2022-02-20	14102.5432529736	8410419.29931185	4756414.18209908	0	1446.41469261268	241.069115435446	0	17236.4417536344	361.60367315317
2022-02-27	4580.91379564348	6019320.72747553	5390288.93311586	0	2049.35617173524	120.550363043249	120.550363043249	9885.12976954646	361.651089129748
2022-03-06	3649.42095999413	4166962.917617	6844421.42859937	0	2027.45608888563	270.327478518084	0	6487.85948443401	0
2022-03-13	3682.16525133996	3074861.9273	8385686.9606723	0	1904.56823345171	253.942431126894	126.971215563447	5332.79105366478	126.971215563447
2022-03-20	2306.15228574708	1990573.55190801	9579877.97142947	0	1942.02297747123	0	0	4976.43387977002	0
2022-03-27	1854.36154835479	1351211.44823452	9450815.44324179	247.248206447305	3337.85078703862	0	370.872309670958	2348.8579612494	1359.86513546018
2022-04-03	1999.96352417615	889983.768258389	8217975.11856008	0	4374.92020913534	0	0	2374.95668495918	624.988601305048
2022-04-10	2526.08468303389	580999.477097794	6762558.34054381	0	15960.2623155323	0	0	1033.39827942295	0
2022-04-17	1073.85819280871	279300.753602338	5507916.29438794	97.6234720735189	19622.3178867773	195.246944147038	0	1073.85819280871	195.246944147038
2022-04-24	3043.6215522771	135070.988887541	4554080.44262608	0	24019.9322504031	82.2600419534351	0	1069.38054539466	0
2022-05-01	152.707527293622	74292.2120283471	3836623.91572496	0	50240.7764796016	76.353763646811	76.353763646811	1374.3677456426	0
2022-05-08	516.025033636401	43862.1278590941	3476386.93374648	0	72317.2225710442	147.435723896114	0	368.589309740286	0
2022-05-15	249.963499612875	43806.1033071563	3203344.73841389	0	119607.534564761	62.4908749032187	0	562.417874128968	249.963499612875
2022-05-22	1649.79342965256	27729.2203368527	2949894.10581223	63.4535934481755	200322.99451589	0	0	571.082341033579	126.907186896351
2022-05-29	637.41256149514	10836.0135454174	2564774.30766694	0	338581.963346918	57.9465964995582	115.893192999116	579.465964995582	0
2022-06-05	862.125584475527	7644.18018234968	2221755.1062324	0	619178.594770324	0	0	402.325272755246	57.4750389650352
2022-06-12	840.883045453709	4765.00392423769	1994294.28946771	0	1024139.49049292	56.058869696914	0	112.117739393828	0
2022-06-19	989.346003301983	3165.90721056635	1686703.02282944	0	1837281.484532	0	0	659.564002201322	131.912800440264
2022-06-26	750.279226847416	2851.06106202018	1370159.92406875	75.0279226847416	2839656.8177721	75.0279226847416	0	300.111690738966	0
2022-07-03	1743.49172813461	2773.73684021415	1144364.57064835	0	3968583.4213544	0	0	475.497744036711	79.2496240061186
2022-07-10	2217.83320978503	3241.44853737811	953668.280207561	0	5007867.38769459	85.3012772994241	0	341.205109197696	0
2022-07-17	1178.72805590122	3626.85555661913	719205.456877572	90.6713889154781	5888834.69589356	90.6713889154781	0	453.356944577391	0
2022-07-24	1864.23967386435	2485.6528984858	486359.417137055	0	6426862.70677657	0	0	828.550966161933	103.568870770242
2022-07-31	2331.46231099474	3067.71356709834	311802.406959875	0	6598038.34011511	2945.00502441441	0	613.542713419668	245.417085367867
2022-08-07	625.373851658447	2501.49540663379	197493.062353738	0	6238729.54414467	5628.36466492602	0	500.299081326758	500.299081326758
2022-08-14	1291.79145819098	4392.09095784934	135250.565672596	0	5701967.496455	1808.50804146738	0	258.358291638196	387.537437457295
2022-08-21	788.983002999039	2028.81343628324	92761.8587811728	0	4993473.42598092	3494.06758471003	0	450.847430285165	112.711857571291
2022-08-28	1742.21443807492	2152.14724703373	73992.8720170644	0	4507826.1337155	3689.39528062925	0	204.966404479403	614.899213438208
2022-09-04	581.027629278041	1452.5690731951	55488.138596053	0	3794400.93300025	5713.43835456741	0	193.675876426014	484.189691065035
2022-09-11	1211.51761823487	1397.90494411716	57407.2963717448	0	3291693.36874415	16122.5036888179	0	372.774651764576	1397.90494411716
2022-09-18	74.7763700501813	747.763700501814	64457.2309832563	0	2901323.15794704	28863.67883937	0	299.105480200725	2916.27843195707
2022-09-25	246.138497071682	820.461656905606	72774.9489675273	0	2831331.13181556	57678.4544804641	0	246.138497071682	9107.12439165223
2022-10-02	176.789144134576	1591.10229721118	80881.0334415683	0	2687460.17456175	108283.350782428	0	1060.73486480745	25280.8476112443
2022-10-09	801.08510900737	979.104022120119	99067.5251472447	0	2551189.0438188	179888.111700433	0	178.018913112749	42457.5107773906
2022-10-16	691.621948692445	1296.79115379833	104175.556021799	0	2358430.84504124	262989.245990302	0	259.358230759667	42361.8443574122
2022-10-23	1200.92211133289	686.241206475937	109970.153337769	0	2077080.57170104	335915.070569971	0	0	43576.316611222
2022-10-30	994.377910278251	841.396693312366	111676.288385096	0	1769610.22725287	405476.715568078	0	152.981216965885	37403.9075481588
2022-11-06	438.096637283709	657.144955925563	123689.283926434	0	1521144.54075525	524693.739253455	0	73.0161062139515	52352.5481554032
2022-11-13	140.627447412843	351.568618532108	135353.918134862	0	1413727.72884131	686683.825716914	0	351.568618532108	69188.7041271189
2022-11-20	308.113021570458	616.226043140916	174700.08323045	0	1392439.77273229	890138.519317053	0	154.056510785229	83190.5158240236
2022-11-27	416.11383675681	749.004906162258	195323.834973647	0	1353701.53373725	1124422.80968425	83.222767351362	249.668302054086	114930.641712231
2022-12-04	456.17241629748	1444.54598494202	223676.541457864	0	1256678.97816351	1459751.73215194	0	76.02873604958	169163.937710315
2022-12-11	352.249671882887	264.187253912166	284353.547627461	0	1212619.49545684	1725230.83046441	0	176.124835941444	227641.350454316
2022-12-18	278.271475688371	556.542951376743	325206.597921143	0	1169667.76947679	1910797.46639348	0	92.7571585627905	252392.228449353
2022-12-25	384.975615007805	577.463422511708	321358.394627766	0	1038182.9897723	1904570.61134736	0	96.2439037519513	257933.66205523
2023-01-01	493.722929936306	493.722929936306	336027.82611465	0	782945.822292994	1782636.01082803	0	296.233757961783	295740.035031847
2023-01-08	179.318872564474	1075.91323538685	327256.942430166	896.594362822372	695757.225550161	1423971.16703449	0	179.318872564474	339540.285200832
2023-01-15	97.685584486032	390.742337944128	272347.409547057	97.685584486032	548113.814551126	1097497.54170057	0	97.685584486032	427472.117710876
2023-01-22	0	633.24057318844	201008.650517816	0	398941.561108718	779880.997351078	0	90.4629390269201	464889.043659342
2023-01-29	69.9840547432297	69.9840547432297	165652.257577225	0	245434.079984507	529289.406023046	0	0	472112.433297828
2023-02-05	189.358747166701	0	143849.528264304	0	175977.395700254	387238.637955904	0	63.1195823889003	480276.902397143
2023-02-12	173.483769797711	231.311693063614	124445.690868224	0	125486.593487011	292262.324185876	0	0	530918.16350426
2023-02-19	111.801608194989	55.9008040974946	117838.895037519	0	94472.3589247658	243056.696215906	0	0	556660.207202851
2023-02-26	0	291.413468529545	111028.531509757	0	72911.6498260921	179568.979307905	0	58.2826937059089	598038.720116332
2023-03-05	55.3835757575758	0	100853.491454545	0	48349.8616363636	125665.333393939	0	0	616031.513151515
2023-03-12	0	112.832154425861	62114.1010114365	0	35767.7929529979	95738.0830303431	0	56.4160772129305	584865.472466451
2023-03-19	57.431430794257	287.157153971285	67079.9111676922	0	20330.726501167	68285.9712143716	0	57.431430794257	567077.947662494
2023-03-26	413.659449871215	295.471035622297	57025.9098751033	0	24583.1901637751	50880.1123341595	0	0	558026.59787627
2023-04-02	0	63.2051156195463	61308.9621509599	0	21236.9188481675	41904.9916557592	0	63.2051156195463	609676.545266143
2023-04-09	139.737924438068	0	50026.1769488283	0	18724.8818747011	30462.8675274988	0	0	620995.336202774
2023-04-16	0	654.180421084985	44484.268633779	523.344336867988	11906.0836637467	25970.9627170739	0	0	616434.210788382
2023-04-23	345.629156429156	483.880819000819	39816.4788206388	0	13341.2854381654	23157.1534807535	0	0	615703.779262899
2023-04-30	0	66.373236201352	37699.9981623679	0	9491.37277679333	16460.5625779353	0	66.373236201352	599682.189079215
2023-05-07	0	70.4730826380158	32558.5641787633	0	5849.26585895531	9725.28540404618	0	70.4730826380158	558005.868327809
2023-05-14	0	64.107119095143	22629.8130405855	0	2564.28476380572	5961.9620758483	0	64.107119095143	472213.039254824
2023-05-21	0	58.2050304185962	19556.8902206483	0	2037.17606465087	2968.45655134841	0	0	393873.44084264
2023-05-28	0	93.9961771561772	13864.4361305361	0	1597.93501165501	2255.90825174825	0	0	310281.380792541
2023-06-04	0	0	10320.587392263	0	1369.98947684907	2100.65053116857	0	0	274271.893265183
2023-06-11	41.5496353799106	41.5496353799106	7894.43072218302	0	955.641613737944	1246.48906139732	0	0	211279.895906845
2023-06-18	38.9161362785474	0	6965.98839385998	0	1167.48408835642	622.658180456758	0	38.9161362785474	192206.797079745
2023-06-25	0	34.3943699026572	5468.70481452249	0	1100.61983688503	653.493028150487	0	0	162960.52459879
2023-07-02	42.4765771862546	42.4765771862546	4417.56402737048	0	679.625234980074	594.672080607564	0	42.4765771862546	177764.475524476
2023-07-09	0	0	4397.77410228509	0	610.801958650707	732.962350380849	0	0	176481.045919478
2023-07-16	41.9733597098582	0	5750.35028025058	0	755.520474777448	965.387273326739	0	0	200800.552851962
2023-07-23	0	99.6398036936588	4683.07077360196	0	1145.85774247708	647.658724008782	0	0	247056.893258427
2023-07-30	0	68.8001079622132	7430.41165991903	137.600215924426	1720.00269905533	275.200431848853	0	0	410805.444642375
2023-08-06	0	53.6012891344383	9112.21915285451	0	964.823204419889	1179.22836095764	0	0	372368.155616943
2023-08-13	48.3874428345514	0	6677.4671111681	48.3874428345514	822.586528187374	870.973971021926	0	0	364260.669658503
2023-08-20	0	0	4540.6425199288	184.080102159276	429.520238371643	184.080102159276	0	0	255687.261899234
2023-08-27	0	0	5684.43557117083	1270.26493210521	285.809609723673	285.809609723673	0	0	323282.425220777
2023-09-03	0	29.7773340762754	5955.46681525508	416.882677067855	297.773340762754	119.109336305102	0	0	308790.954370976
2023-09-10	0	0	4221.52906976744	807.057028043776	227.631469448244	144.856389648883	0	0	233880.987973096
2023-09-17	0	0	3131.1477124183	511.822222222222	165.58954248366	135.482352941176	0	0	166854.044444444
2023-09-24	0	11.9942260715079	2290.89717965801	983.526537863646	35.9826782145237	47.9769042860315	0	0	138953.109038419
2023-10-01	29.3023546311911	29.3023546311911	2988.84017238149	1435.81537692836	58.6047092623821	102.558241209169	0	0	149573.869214915
2023-10-08	0	15.4300887248235	3147.738099864	2422.52392979729	77.1504436241176	77.1504436241176	0	0	150366.214623405
2023-10-15	32.9030961862735	16.4515480931367	3389.01890718617	3208.05187816166	49.3546442794102	16.4515480931367	0	0	143161.371506476
2023-10-22	0	0	2572.74798213012	4135.93662950032	16.2832150767729	16.2832150767729	0	0	135020.419416601
2023-10-29	30.9388285724325	15.4694142862162	2366.82038579108	6296.05161449	30.9388285724325	15.4694142862162	0	0	135094.394961526
2023-11-05	0	0	1858.59515046547	9092.04654687162	16.7441004546439	66.9764018185755	0	0	141018.814029011
2023-11-12	37.9237130089025	18.9618565044512	1801.37636792287	15795.2264682079	37.9237130089025	0	0	0	159260.632780886
2023-11-19	22.6208534268596	22.6208534268596	1583.45973988017	27868.891421891	90.4834137074383	22.6208534268596	0	0	174203.192240245
2023-11-26	0	0	2182.57717552403	51030.7330086809	51.9661232267627	25.9830616133813	0	0	189494.46834639
2023-12-03	0	26.8744990375209	1827.46593455142	87073.3768815677	0	53.7489980750418	0	0	192448.287607687
2023-12-10	0	0	1519.37905332042	139812.091733427	0	0	0	0	187321.905977639
2023-12-17	29.9970843846369	0	1109.89212223157	188081.719091674	0	59.9941687692739	0	0	163544.104065041
