Date	VOC	WeeklyCases
2020-01-12	WT	NaN
2020-01-12	BA.1	NaN
2020-01-12	BA.2	NaN
2020-01-12	BA.2.86	NaN
2020-01-12	BA.4/5	NaN
2020-01-12	BQ.1	NaN
2020-01-12	Alpha	NaN
2020-01-12	Delta	NaN
2020-01-12	XBB	NaN
2020-01-19	WT	0
2020-01-19	BA.1	0
2020-01-19	BA.2	0
2020-01-19	BA.2.86	0
2020-01-19	BA.4/5	0
2020-01-19	BQ.1	0
2020-01-19	Alpha	0
2020-01-19	Delta	0
2020-01-19	XBB	0
2020-01-26	WT	7
2020-01-26	BA.1	0
2020-01-26	BA.2	0
2020-01-26	BA.2.86	0
2020-01-26	BA.4/5	0
2020-01-26	BQ.1	0
2020-01-26	Alpha	0
2020-01-26	Delta	0
2020-01-26	XBB	0
2020-02-02	WT	2
2020-02-02	BA.1	0
2020-02-02	BA.2	0
2020-02-02	BA.2.86	0
2020-02-02	BA.4/5	0
2020-02-02	BQ.1	0
2020-02-02	Alpha	0
2020-02-02	Delta	0
2020-02-02	XBB	0
2020-02-09	WT	11
2020-02-09	BA.1	0
2020-02-09	BA.2	0
2020-02-09	BA.2.86	0
2020-02-09	BA.4/5	0
2020-02-09	BQ.1	0
2020-02-09	Alpha	0
2020-02-09	Delta	0
2020-02-09	XBB	0
2020-02-16	WT	4
2020-02-16	BA.1	0
2020-02-16	BA.2	0
2020-02-16	BA.2.86	0
2020-02-16	BA.4/5	0
2020-02-16	BQ.1	0
2020-02-16	Alpha	0
2020-02-16	Delta	0
2020-02-16	XBB	0
2020-02-23	WT	16
2020-02-23	BA.1	0
2020-02-23	BA.2	0
2020-02-23	BA.2.86	0
2020-02-23	BA.4/5	0
2020-02-23	BQ.1	0
2020-02-23	Alpha	0
2020-02-23	Delta	0
2020-02-23	XBB	0
2020-03-01	WT	33
2020-03-01	BA.1	0
2020-03-01	BA.2	0
2020-03-01	BA.2.86	0
2020-03-01	BA.4/5	0
2020-03-01	BQ.1	0
2020-03-01	Alpha	0
2020-03-01	Delta	0
2020-03-01	XBB	0
