Date	VOC	WeeklyCases
2020-01-12	WT	1
2020-01-12	BA.1	0
2020-01-12	BA.2	0
2020-01-12	BA.2.86	0
2020-01-12	BA.4/5	0
2020-01-12	BQ.1	0
2020-01-12	Alpha	0
2020-01-12	Delta	0
2020-01-12	XBB	0
2020-01-12	Total	1
2020-01-19	WT	15.3333333333333
2020-01-19	BA.1	0
2020-01-19	BA.2	0
2020-01-19	BA.2.86	0
2020-01-19	BA.4/5	0
2020-01-19	BQ.1	0
2020-01-19	Alpha	0
2020-01-19	Delta	0
2020-01-19	XBB	0
2020-01-19	Total	15.3333333333333
2020-01-26	WT	43.0980392156863
2020-01-26	BA.1	0
2020-01-26	BA.2	0
2020-01-26	BA.2.86	0
2020-01-26	BA.4/5	0
2020-01-26	BQ.1	0
2020-01-26	Alpha	9.23529411764706
2020-01-26	Delta	0
2020-01-26	XBB	0
2020-01-26	Total	52.3333333333333
2020-02-02	WT	122
2020-02-02	BA.1	0
2020-02-02	BA.2	0
2020-02-02	BA.2.86	0
2020-02-02	BA.4/5	0
2020-02-02	BQ.1	0
2020-02-02	Alpha	0
2020-02-02	Delta	0
2020-02-02	XBB	0
2020-02-02	Total	122
2020-02-09	WT	244
2020-02-09	BA.1	0
2020-02-09	BA.2	0
2020-02-09	BA.2.86	0
2020-02-09	BA.4/5	0
2020-02-09	BQ.1	0
2020-02-09	Alpha	0
2020-02-09	Delta	0
2020-02-09	XBB	0
2020-02-09	Total	244
2020-02-16	WT	580
2020-02-16	BA.1	0
2020-02-16	BA.2	0
2020-02-16	BA.2.86	0
2020-02-16	BA.4/5	0
2020-02-16	BQ.1	0
2020-02-16	Alpha	0
2020-02-16	Delta	0
2020-02-16	XBB	0
2020-02-16	Total	580
2020-02-23	WT	2289
2020-02-23	BA.1	0
2020-02-23	BA.2	0
2020-02-23	BA.2.86	0
2020-02-23	BA.4/5	0
2020-02-23	BQ.1	0
2020-02-23	Alpha	0
2020-02-23	Delta	0
2020-02-23	XBB	0
2020-02-23	Total	2289
2020-03-01	WT	8594
2020-03-01	BA.1	0
2020-03-01	BA.2	0
2020-03-01	BA.2.86	0
2020-03-01	BA.4/5	0
2020-03-01	BQ.1	0
2020-03-01	Alpha	0
2020-03-01	Delta	0
2020-03-01	XBB	0
2020-03-01	Total	8594
2020-03-08	WT	28273.0121640181
2020-03-08	BA.1	0
2020-03-08	BA.2	0
2020-03-08	BA.2.86	0
2020-03-08	BA.4/5	0
2020-03-08	BQ.1	0
2020-03-08	Alpha	0
2020-03-08	Delta	0
2020-03-08	XBB	0
2020-03-08	Total	28306.3333333333
2020-03-15	WT	83430.8813287973
2020-03-15	BA.1	0
2020-03-15	BA.2	0
2020-03-15	BA.2.86	0
2020-03-15	BA.4/5	0
2020-03-15	BQ.1	0
2020-03-15	Alpha	0
2020-03-15	Delta	0
2020-03-15	XBB	0
2020-03-15	Total	83481
2020-03-22	WT	193600.07040022
2020-03-22	BA.1	0
2020-03-22	BA.2	0
2020-03-22	BA.2.86	0
2020-03-22	BA.4/5	0
2020-03-22	BQ.1	0
2020-03-22	Alpha	40.0745333057794
2020-03-22	Delta	0
2020-03-22	XBB	0
2020-03-22	Total	193920.666666667
2020-03-29	WT	328735.947943655
2020-03-29	BA.1	0
2020-03-29	BA.2	29.3986717889157
2020-03-29	BA.2.86	0
2020-03-29	BA.4/5	0
2020-03-29	BQ.1	0
2020-03-29	Alpha	0
2020-03-29	Delta	0
2020-03-29	XBB	0
2020-03-29	Total	329059.333333333
2020-04-05	WT	445456.473347974
2020-04-05	BA.1	0
2020-04-05	BA.2	0
2020-04-05	BA.2.86	0
2020-04-05	BA.4/5	0
2020-04-05	BQ.1	0
2020-04-05	Alpha	0
2020-04-05	Delta	0
2020-04-05	XBB	0
2020-04-05	Total	446705
2020-04-12	WT	497361.811884669
2020-04-12	BA.1	0
2020-04-12	BA.2	0
2020-04-12	BA.2.86	0
2020-04-12	BA.4/5	0
2020-04-12	BQ.1	0
2020-04-12	Alpha	58.4375293014534
2020-04-12	Delta	0
2020-04-12	XBB	0
2020-04-12	Total	498589
2020-04-19	WT	522636.96521079
2020-04-19	BA.1	0
2020-04-19	BA.2	0
2020-04-19	BA.2.86	0
2020-04-19	BA.4/5	0
2020-04-19	BQ.1	0
2020-04-19	Alpha	210.373124330118
2020-04-19	Delta	0
2020-04-19	XBB	0
2020-04-19	Total	523408.333333333
2020-04-26	WT	529778.259420533
2020-04-26	BA.1	0
2020-04-26	BA.2	0
2020-04-26	BA.2.86	0
2020-04-26	BA.4/5	0
2020-04-26	BQ.1	0
2020-04-26	Alpha	710.992463573941
2020-04-26	Delta	0
2020-04-26	XBB	0
2020-04-26	Total	530667
2020-05-03	WT	555630.305582137
2020-05-03	BA.1	0
2020-05-03	BA.2	0
2020-05-03	BA.2.86	0
2020-05-03	BA.4/5	0
2020-05-03	BQ.1	0
2020-05-03	Alpha	0
2020-05-03	Delta	0
2020-05-03	XBB	0
2020-05-03	Total	555736.666666667
2020-05-10	WT	579080.600300687
2020-05-10	BA.1	0
2020-05-10	BA.2	0
2020-05-10	BA.2.86	0
2020-05-10	BA.4/5	0
2020-05-10	BQ.1	0
2020-05-10	Alpha	124.399699312715
2020-05-10	Delta	0
2020-05-10	XBB	0
2020-05-10	Total	579205
2020-05-17	WT	628509.119528619
2020-05-17	BA.1	0
2020-05-17	BA.2	0
2020-05-17	BA.2.86	0
2020-05-17	BA.4/5	0
2020-05-17	BQ.1	0
2020-05-17	Alpha	302.822991822992
2020-05-17	Delta	757.05747955748
2020-05-17	XBB	0
2020-05-17	Total	629569
2020-05-24	WT	678548.655535577
2020-05-24	BA.1	0
2020-05-24	BA.2	0
2020-05-24	BA.2.86	0
2020-05-24	BA.4/5	0
2020-05-24	BQ.1	0
2020-05-24	Alpha	174.344464423324
2020-05-24	Delta	0
2020-05-24	XBB	0
2020-05-24	Total	678723
2020-05-31	WT	756745.333333333
2020-05-31	BA.1	0
2020-05-31	BA.2	0
2020-05-31	BA.2.86	0
2020-05-31	BA.4/5	0
2020-05-31	BQ.1	0
2020-05-31	Alpha	0
2020-05-31	Delta	0
2020-05-31	XBB	0
2020-05-31	Total	756745.333333333
2020-06-07	WT	825116.373230769
2020-06-07	BA.1	0
2020-06-07	BA.2	0
2020-06-07	BA.2.86	0
2020-06-07	BA.4/5	0
2020-06-07	BQ.1	0
2020-06-07	Alpha	0
2020-06-07	Delta	0
2020-06-07	XBB	0
2020-06-07	Total	825370.333333333
2020-06-14	WT	925895.103258476
2020-06-14	BA.1	0
2020-06-14	BA.2	0
2020-06-14	BA.2.86	0
2020-06-14	BA.4/5	0
2020-06-14	BQ.1	0
2020-06-14	Alpha	0
2020-06-14	Delta	0
2020-06-14	XBB	0
2020-06-14	Total	926099
2020-06-21	WT	1030539.33333333
2020-06-21	BA.1	0
2020-06-21	BA.2	0
2020-06-21	BA.2.86	0
2020-06-21	BA.4/5	0
2020-06-21	BQ.1	0
2020-06-21	Alpha	0
2020-06-21	Delta	0
2020-06-21	XBB	0
2020-06-21	Total	1030539.33333333
2020-06-28	WT	1172533
2020-06-28	BA.1	0
2020-06-28	BA.2	0
2020-06-28	BA.2.86	0
2020-06-28	BA.4/5	0
2020-06-28	BQ.1	0
2020-06-28	Alpha	0
2020-06-28	Delta	0
2020-06-28	XBB	0
2020-06-28	Total	1172533
2020-07-05	WT	1304411.96189477
2020-07-05	BA.1	0
2020-07-05	BA.2	0
