Date	WT	BA.1	BA.2	BA.2.86	BA.4/5	BQ.1	Alpha	Delta	XBB
2020-01-12	25	0	0	0	0	0	0	0	0
2020-01-19	8	0	0	0	0	0	0	0	0
2020-01-26	56	0	0	0	0	0	12	0	0
2020-02-02	77	0	0	0	0	0	0	0	0
2020-02-09	65	0	0	0	0	0	0	0	0
2020-02-16	63	0	0	0	0	0	0	0	0
2020-02-23	229	0	0	0	0	0	0	0	0
2020-03-01	469	0	0	0	0	0	0	0	0
2020-03-08	1697	0	0	0	0	0	0	0	0
2020-03-15	4994	0	0	0	0	0	0	0	0
2020-03-22	9662	0	0	0	0	0	2	0	0
2020-03-29	11182	0	1	0	0	0	0	0	0
2020-04-05	9990	0	0	0	0	0	0	0	0
2020-04-12	8511	0	0	0	0	0	1	0	0
2020-04-19	7453	0	0	0	0	0	3	0	0
2020-04-26	5961	0	0	0	0	0	8	0	0
2020-05-03	5224	0	0	0	0	0	0	0	0
2020-05-10	4655	0	0	0	0	0	1	0	0
2020-05-17	4151	0	0	0	0	0	2	5	0
2020-05-24	3892	0	0	0	0	0	1	0	0
2020-05-31	2911	0	0	0	0	0	0	0	0
2020-06-07	3249	0	0	0	0	0	0	0	0
2020-06-14	4541	0	0	0	0	0	0	0	0
2020-06-21	5291	0	0	0	0	0	0	0	0
2020-06-28	4559	0	0	0	0	0	0	0	0
2020-07-05	5718	0	0	0	3	0	0	0	0
2020-07-12	6218	1	0	0	0	0	2	2	0
2020-07-19	6895	0	0	0	0	0	1	34	0
2020-07-26	6412	0	0	0	1	0	0	0	0
2020-08-02	6638	0	0	0	0	0	1	5	0
2020-08-09	6443	0	0	0	0	0	0	0	0
2020-08-16	6889	0	0	0	4	0	0	14	0
2020-08-23	6372	0	1	0	0	0	1	2	0
2020-08-30	6654	0	0	0	1	0	2	0	0
2020-09-06	7431	0	1	0	1	0	0	0	0
2020-09-13	7436	0	0	0	0	0	0	15	0
2020-09-20	7796	0	0	0	0	0	2	3	0
2020-09-27	9723	1	1	0	0	0	3	1	0
2020-10-04	9158	0	0	0	0	0	3	0	0
2020-10-11	11323	0	0	0	1	0	4	0	0
2020-10-18	11769	0	0	0	0	0	6	6	0
2020-10-25	13423	0	0	0	0	0	31	0	0
2020-11-01	12785	0	0	0	0	0	33	1	0
2020-11-08	17602	0	0	0	0	0	193	3	0
2020-11-15	18410	0	1	0	1	0	599	4	0
2020-11-22	13767	0	0	0	0	0	463	3	0
2020-11-29	13016	0	0	0	0	0	538	0	0
2020-12-06	14662	0	0	0	0	0	466	4	0
2020-12-13	21384	0	0	1	0	0	2189	4	0
2020-12-20	22318	0	0	0	0	0	4699	3	0
2020-12-27	16590	0	0	0	0	0	3253	0	0
2021-01-03	20673	7	0	0	0	0	5780	15	0
2021-01-10	27982	60	0	0	0	0	8202	43	0
2021-01-17	27589	7	0	0	1	0	10698	54	0
2021-01-24	25332	2	0	0	0	0	12200	6	0
2021-01-31	22168	5	0	0	0	0	19157	16	0
2021-02-07	20953	2	0	0	0	0	15490	8	0
2021-02-14	20816	2	0	0	0	0	19624	88	0
2021-02-21	19289	8	0	0	0	0	24447	23	0
2021-02-28	19209	1	0	0	0	0	28297	12	0
2021-03-07	17912	5	0	1	0	1	31798	54	0
2021-03-14	17026	3	1	0	0	0	39894	401	0
2021-03-21	16557	3	0	0	0	0	45617	111	0
2021-03-28	16660	3	0	0	0	0	49845	94	0
2021-04-04	17356	1	0	0	0	0	48774	201	0
2021-04-11	16149	0	0	0	0	0	47150	511	0
2021-04-18	14479	0	0	0	0	0	50962	886	0
2021-04-25	12505	0	0	0	0	0	48573	1510	0
2021-05-02	12300	3	1	0	0	0	48453	1971	0
2021-05-09	10598	10	2	0	0	0	43916	3186	0
2021-05-16	8348	2	0	0	0	0	37750	3313	0
2021-05-23	7602	1	0	0	0	0	32088	5572	0
2021-05-30	6412	2	0	0	0	0	25260	9518	0
2021-06-06	6150	1	0	0	0	0	18844	11904	0
2021-06-13	5731	1	0	0	0	0	15218	12857	0
2021-06-20	5252	2	0	0	0	0	10827	12690	0
2021-06-27	5027	2	0	0	0	0	8709	22215	0
2021-07-04	5104	0	18	0	2	0	6557	30957	0
2021-07-11	4499	1	1	0	0	0	5712	40110	0
2021-07-18	5253	0	0	0	0	0	4472	45605	0
2021-07-25	3623	0	0	1	0	0	3581	63744	0
2021-08-01	3176	0	0	0	0	0	3073	82392	0
2021-08-08	7066	3	0	0	0	0	1574	89363	0
2021-08-15	2986	0	1	0	0	0	2500	86843	0
2021-08-22	6269	1	0	0	0	0	794	116073	0
2021-08-29	1196	2	0	0	3	0	445	95291	0
2021-09-05	937	1	0	0	0	0	262	94331	0
2021-09-12	652	1	0	0	0	0	151	82712	0
2021-09-19	619	0	0	0	0	0	89	78320	0
2021-09-26	446	0	0	0	1	0	49	71571	0
2021-10-03	346	7	1	0	1	0	34	72189	0
2021-10-10	196	1	0	0	0	0	36	76717	1
2021-10-17	153	4	0	0	0	0	44	70411	0
2021-10-24	108	2	0	0	0	0	14	83268	0
2021-10-31	109	7	0	0	2	1	9	90390	0
2021-11-07	94	6	1	0	13	0	2	96738	0
2021-11-14	79	17	0	0	1	0	6	106344	0
2021-11-21	63	90	2	2	2	0	4	101480	0
2021-11-28	92	366	2	0	1	0	5	94125	1
2021-12-05	147	982	8	0	0	2	7	117010	0
2021-12-12	153	4211	58	0	0	1	6	102521	0
2021-12-19	244	15777	139	0	4	0	7	67312	0
2021-12-26	326	33014	460	0	1	0	1	33475	0
