VOC_Date	WeeklyCases	InfectionProp	InfectionGroup	AntigenicDistanceT1	NTD	RBD	SpikeOther	VOC	Date
Alpha_44150	126097.2546	0.00308411	A075	0	0	0	0	Alpha	2020-11-15
Alpha_44157	131953.7867	0.005215636	A075	0.032235384	0.015231455	0.002716001	0.014287927	Alpha	2020-11-22
Alpha_44164	163093.7081	0.007850183	A075	0.028962086	0.011347897	0.004156383	0.013457805	Alpha	2020-11-29
Alpha_44171	129480.3509	0.009941754	A075	0.035700156	0.01381893	0.003156563	0.018724664	Alpha	2020-12-06
Alpha_44178	406447.4787	0.016507336	A075	0.042235894	0.017746357	0.004182041	0.020307496	Alpha	2020-12-13
Alpha_44185	756443.2049	0.028726601	A075	0.034680592	0.013401122	0.005414618	0.015864852	Alpha	2020-12-20
Alpha_44192	705069.2425	0.040115993	A075	0.039374321	0.015429327	0.003945311	0.019999683	Alpha	2020-12-27
Alpha_44199	972971.3967	0.055832964	A075	0.039885119	0.014224478	0.005350994	0.020309647	Alpha	2021-01-03
Alpha_44206	1062556.561	0.072997055	A075	0.042577049	0.014438036	0.004813319	0.023325694	Alpha	2021-01-10
Alpha_44213	1309693.421	0.094153292	A075	0.042760648	0.013742599	0.004462695	0.024555353	Alpha	2021-01-17
Alpha_44220	1388023.747	0.116574844	A075	0.036057626	0.01350228	0.004740152	0.017815194	Alpha	2021-01-24
Alpha_44227	1718020.118	0.144327018	A075	0.044077872	0.014593287	0.005004858	0.024479727	Alpha	2021-01-31
Alpha_44234	1362578.414	0.166337537	A075	0.043731494	0.016103485	0.005188677	0.022439333	Alpha	2021-02-07
Alpha_44241	1349100.537	0.188130339	A075	0.038290729	0.014327639	0.004626278	0.019336813	Alpha	2021-02-14
Alpha_44248	1462569.659	0.211756075	A075	0.039099723	0.015177983	0.004130137	0.019791604	Alpha	2021-02-21
Alpha_44255	1562511.615	0.23699623	A075	0.038299186	0.014856059	0.004277043	0.019166085	Alpha	2021-02-28
Alpha_44262	1780565.983	0.265758744	A075	0.042128264	0.016086294	0.004517848	0.021524122	Alpha	2021-03-07
Alpha_44269	2094066.449	0.299585413	A075	0.039203227	0.015410967	0.004128797	0.019663463	Alpha	2021-03-14
Alpha_44276	2470338.722	0.339490225	A075	0.037531644	0.013362354	0.004155262	0.020014029	Alpha	2021-03-21
Alpha_44283	2811686.605	0.384909028	A075	0.035303263	0.013592499	0.004035272	0.017675492	Alpha	2021-03-28
Alpha_44290	3063705.305	0.434398835	A075	0.035567124	0.01425679	0.004050908	0.017259426	Alpha	2021-04-04
Alpha_44297	3422647.289	0.48968684	A075	0.038187284	0.014626488	0.004004933	0.019555863	Alpha	2021-04-11
Alpha_44304	3964621.502	0.553729668	A075	0.034728157	0.016362773	0.003859819	0.014505565	Alpha	2021-04-18
Alpha_44311	4296900.212	0.623139987	A075	0.034447129	0.015033255	0.004597008	0.014816866	Alpha	2021-04-25
Alpha_44318	4334293.562	0.693154342	A075	0.034391894	0.014699499	0.004254954	0.01543744	Alpha	2021-05-02
Alpha_44325	4046168.816	0.758514451	B75100	0.035814948	0.015420997	0.004354377	0.016039573	Alpha	2021-05-09
Alpha_44332	3681793.53	0.817988595	B75100	0.041599735	0.017826806	0.005789944	0.017982986	Alpha	2021-05-16
Alpha_44339	2960306.316	0.865808138	B75100	0.045669794	0.020248521	0.006632262	0.018789011	Alpha	2021-05-23
Alpha_44346	2196052.629	0.901282249	B75100	0.049470259	0.020765566	0.007365203	0.02133949	Alpha	2021-05-30
