VOC_Date	Ep01	Ep02	Ep03	Ep04	Ep05	Ep06	Ep07	Ep08	Ep09	Ep10	Ep11	Ep12
Alpha_44150	0	0	0	0	0	0	0	0	0	0	0	0
Alpha_44157	0.000286837	0.000286837	0.00022761	0.00022761	0	0	0.000906335	0.000737728	0.000316219	0	0	0
Alpha_44164	0.000525429	0.000525429	0.000722985	0.001208274	0.000485289	0	0.000499487	0.00033088	0.000716074	0	0	0.000483561
Alpha_44171	0	0	0.000231421	0.00071671	0.000485289	0	0	0.000353066	0.000734174	0	0	0.000483561
Alpha_44178	0.000210262	0.000210262	0.000449583	0.000449583	0	0	0.000439638	0.00106942	0.000728982	0	0	0.000259989
Alpha_44185	0.00051513	0.00051513	0.001983476	0.00223037	0	0.000361261	0.001075266	0.000900957	0.000622749	0.000117942	0.000172431	0.000259989
Alpha_44192	0.000768659	0.000547257	0.001321076	0.001414055	0.000142526	0.000573838	0.000923253	0.000660878	0.000554025	0.000113638	0.000417366	0.000384048
Alpha_44199	0.000739376	0.000525841	0.002301599	0.002098596	0.000409263	0.000476883	0.00062645	0.0006284	0.000642484	0.000387507	0.000717872	0.000508486
Alpha_44206	0.000800909	0.000446221	0.00170541	0.001362845	0.000171865	0.00028012	0.000963255	0.000881863	0.00046491	0.000211457	0.000464379	0.000552716
Alpha_44213	0.000765114	0.000558289	0.001641042	0.001420437	9.58E-05	0.000210601	0.001012737	0.001036689	0.000267773	0.000417412	0.000484868	0.000393617
Alpha_44220	0.000929109	0.000755206	0.001088708	0.001124589	0.000369364	0.000361959	0.000908854	0.000868774	0.000326975	0.000517712	0.000768376	0.000369801
Alpha_44227	0.000734895	0.000528728	0.000863789	0.000990471	0.000309932	0.000482812	0.000826718	0.000681496	0.000497947	0.000546689	0.000800204	0.000364812
Alpha_44234	0.000451803	0.000328419	0.001696659	0.001613279	0.000305275	0.000337893	0.000849032	0.000850068	0.000481155	0.000151663	0.000413409	0.000551557
Alpha_44241	0.000796777	0.000658027	0.001211491	0.001029693	0.000268624	0.000301903	0.000853588	0.000834155	0.000565489	0.000117166	0.000436678	0.0003359
Alpha_44248	0.000543372	0.00048166	0.001116479	0.000932108	0.000273455	0.000350647	0.000898143	0.000917652	0.000184807	0.000276179	0.00047775	0.000322645
Alpha_44255	0.000575849	0.000318771	0.001158502	0.000928597	0.000242645	0.000376631	0.001010839	0.00097963	0.000205343	0.000293802	0.00063125	0.000347909
Alpha_44262	0.000847818	0.000642067	0.001042111	0.000906906	0.00031925	0.000403784	0.00102502	0.00094153	0.000298928	0.000312817	0.000617981	0.00051078
Alpha_44269	0.000922727	0.000785648	0.001392686	0.00124232	0.000210301	0.000310708	0.001065614	0.000966653	0.000141012	0.000240369	0.000446414	0.000414714
Alpha_44276	0.000747509	0.000711665	0.001276814	0.001084191	0.000193803	0.000272275	0.001163632	0.001047227	0.000156726	0.000199016	0.000309883	0.000347821
Alpha_44283	0.000821203	0.000797542	0.001146365	0.000821089	0.000193834	0.000361691	0.000631752	0.00049487	0.000151688	0.000298697	0.000573861	0.000324998
Alpha_44290	0.000661695	0.000630242	0.001390544	0.001101989	0.000138664	0.00021469	0.000789422	0.000719797	0.000215227	0.000261021	0.000492115	0.000236287
Alpha_44297	0.000588198	0.000491472	0.001388282	0.001240373	0.000226955	0.000449477	0.001243082	0.001110264	0.000209427	0.000235939	0.000456988	0.000260637
Alpha_44304	0.000868043	0.000697504	0.001139715	0.001030147	0.000174265	0.000347374	0.000998083	0.000863841	0.000176343	0.000200472	0.000384349	0.000379079
Alpha_44311	0.000494459	0.000408688	0.00164902	0.001225099	0.00017051	0.000338431	0.001074794	0.000931656	0.00016318	0.000175679	0.000467388	0.000326269
Alpha_44318	0.000954177	0.000842576	0.001631047	0.00127323	0.000244396	0.000539214	0.001457219	0.001182953	0.00028936	0.000180137	0.000266134	0.00025179
Alpha_44325	0.000731118	0.000589332	0.001467042	0.001340006	0.000287745	0.000595956	0.001040387	0.000914348	0.000256189	0.000186527	0.000357272	0.000388847
Alpha_44332	0.00109881	0.000989747	0.001607477	0.001685092	0.00043307	0.001537475	0.001578111	0.001185144	0.000287219	0.000120874	0.000295329	0.00045488
Alpha_44339	0.001183033	0.001036142	0.002652377	0.002636836	0.00040261	0.000973319	0.001951528	0.001778237	0.000235867	7.77E-05	0.000453756	0.000493707
Alpha_44346	0.000902253	0.000804491	0.003125914	0.00292823	0.000445085	0.000845173	0.00183932	0.00159686	0.000377195	0.00017001	0.000457495	0.000549975
Alpha_44353	0.000837243	0.000675068	0.002051114	0.001966097	0.000489008	0.001507849	0.001092519	0.00103027	0.000374669	0.00015856	0.000503897	0.000693733
Alpha_44360	0.001199254	0.001046896	0.002719521	0.00237561	0.000446742	0.001175982	0.001797997	0.001835677	0.000249905	0.000134052	0.00039966	0.000422312
Alpha_44367	0.001797241	0.00144768	0.003402782	0.003363763	0.000482904	0.000914265	0.002266789	0.001981025	0.000132179	0.000415692	0.000776586	0.000700573
Alpha_44374	0.002871539	0.00224066	0.003825549	0.003285295	0.000661438	0.000815954	0.0032766	0.003006124	0.000235527	0.000436955	0.000597219	0.001053693
Alpha_44381	0.002133709	0.001701243	0.004428222	0.003908131	0.00054226	0.001141379	0.003366579	0.002975406	0.000228944	0.000520539	0.000611125	0.000938412
Alpha_44388	0.000931027	0.000650507	0.001876922	0.001860768	0.000680457	0.002562895	0.001927434	0.001403685	0.000490851	0.000575932	0.000797773	0.000897776
Alpha_44395	0.004181665	0.003266309	0.005713106	0.005257625	0.000707292	0.000718496	0.004420933	0.004230877	0.000738074	0.000546659	0.000695922	0.001017749
Alpha_44402	0.001726695	0.000971937	0.0042669	0.004297699	0.000365562	0.00078819	0.002948938	0.002589592	0.000233633	0.000340144	0.000758538	0.001188822
Alpha_44409	0.003181387	0.003009477	0.008310817	0.00827619	0.000404217	0.000597774	0.006331699	0.005895506	0.000530181	0.000462314	0.000597837	0.001130474
Alpha_44416	0.002887765	0.001803948	0.003305862	0.003099078	0.000592091	0.000640868	0.002937277	0.002376132	0.000195572	0.000437403	0.000844341	0.002354297
Alpha_44423	0.003805575	0.002090756	0.004702038	0.00416068	0.000425867	0	0.004119737	0.003992273	0.000243435	0.00030583	0.000712768	0.002904659
Alpha_44430	0.005878703	0.005550047	0.007134391	0.006934222	0.000403729	0.000307407	0.006261089	0.006261089	0.000421596	0.000163427	0.000513883	0.000423954
BA.1_44528	0	0	0	0	0	0	0	0	0	0	0	0
BA.1_44535	0.0070687	0.029774239	0.005790825	0.022790913	0.012827916	0.01454625	0.034043232	0.024080808	0.004038374	0	0	0.009070009
BA.1_44542	0.002645659	0.013894981	0.001512674	0.00808916	0.002350693	0.002012119	0.007992039	0.022491465	0.019192195	0.000392873	0	0.004648579
BA.1_44549	0.0078325	0.029541772	0.007472511	0.014887048	0.007220175	0.007580169	0.020386932	0.040307195	0.035004845	0.000412272	1.14E-05	0.01300139
BA.1_44556	0.00589781	0.008453443	0.006759973	0.017123331	0.003780633	0.002207847	0.011453431	0.02639393	0.018459105	0.000242042	8.88E-05	0.006140708
BA.1_44563	0.006504186	0.016242131	0.007932086	0.014077358	0.004302377	0.006473692	0.018003569	0.017357923	0.015021363	0.00026521	7.88E-05	0.005927989
BA.1_44570	0.008954696	0.020433065	0.005673897	0.013633105	0.006450876	0.007247166	0.018818405	0.01998669	0.015683125	0.000175909	4.43E-05	0.012134481
BA.1_44577	0.003366173	0.017880906	0.005783727	0.009042628	0.011820957	0.016469873	0.032451642	0.012862484	0.002655312	0.000139046	7.09E-05	0.005152786
BA.1_44584	0.000588672	0.008343804	0.001022634	0.002074408	0.00665856	0.006973576	0.014404381	0.019483735	0.012605362	0.000114558	4.86E-05	0.001082287
BA.1_44591	0.00107486	0.007563209	0.000423498	0.00104533	0.005153269	0.00620203	0.012091424	0.015913564	0.010951093	9.76E-05	4.56E-05	0.001197983
BA.1_44598	0.000373209	0.004904313	0.00117615	0.001946117	0.007056477	0.007748191	0.015715584	0.014534048	0.007598389	0.000102451	4.96E-05	0.000561385
BA.1_44605	0.000308844	0.001124198	0.000388113	0.000742206	0.002295034	0.003162088	0.004857865	0.013772172	0.012316602	7.15E-05	3.60E-05	0.001030012
BA.1_44612	0.00023984	0.002567663	0.000320939	0.000538781	0.001574515	0.001004074	0.002452057	0.012181514	0.01097015	0.000127846	6.34E-05	0.001270604
BA.1_44619	0.000581498	0.005726397	0.000697958	0.000770262	0.001422953	0.002928609	0.00340256	0.010246838	0.009818974	0.000126348	0.000122734	0.001746836
BA.1_44626	0.00061533	0.009801833	0.000324547	0.000964417	0.001588356	0.001176264	0.003050059	0.011415088	0.010001204	0.00017796	0.000112224	0.001229687
BA.1_44633	0.000386349	0.00251022	0.000354206	0.000466827	0.003306069	0.003572382	0.005810383	0.007729905	0.005670443	0.000170448	6.05E-05	0.001670564
BA.1_44640	0.001039703	0.002186501	0.000522323	0.001776669	0.001624643	0.001661898	0.003008155	0.00738868	0.006739928	0.000260879	0.000115883	0.001457882
