VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	NTD	RBD	SpikeOther	Ep01	Ep02	Ep03	Ep04	Ep05	Ep06	Ep07	Ep08	Ep09	Ep10	Ep11	Ep12	RBDOther	PressureCorrelation
WT	2020-02-02	122	1.57313687408105E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WT	2020-02-09	244	3.68878750210056E-06	0.116593392697303	0.0458815463562438	0.0237271426925075	0.0469847036485514	0.00470465912987013	0	0.00481362593506494	0.00481362593506494	0	0	0.00481362593506494	0.00481362593506494	0	0	0.00470465912987013	0.00470465912987013	0.0142088576275724	0.249764032696987
WT	2020-02-16	580	8.71779309329449E-06	0.103121549851371	0.0532861895021645	0.0200235647532468	0.0298117955959597	0.00470465912987013	0	0.00481362593506494	0.00481362593506494	0	0	0.00481362593506494	0.00481362593506494	0	0	0.00470465912987013	0.00470465912987013	0.0105052796883117	0.249764032696987
WT	2020-02-23	2289	2.85650237799202E-05	0.0824070675372314	0.0319194253887597	0.0209868148536835	0.0295008272947882	0.00566790923030682	0.000963250100436682	0.00577687603550162	0.00481362593506494	0	0	0.00481362593506494	0.00481362593506494	0	0	0.00470465912987013	0.00470465912987013	0.0105052796883117	0.396334889612157
WT	2020-03-01	8594	0.000103081013522542	0.120457329957162	0.0387695879230471	0.0217779605016476	0.0599097815324676	0.00470465912987013	0	0.00590366002461718	0.00481362593506494	0	0	0.00481362593506494	0.00481362593506494	0.000664361658848615	0	0.00470465912987013	0.00470465912987013	0.0105052796883117	0.290832465029048
WT	2020-03-08	28273.0121640181	0.000348227800165198	0.179169083027221	0.0392823031378675	0.0261171009724571	0.113769678916897	0.00629471519056548	0.00159005606069534	0.0071227357341221	0.00576709817018574	0	9.29430129640542E-05	0.0058418626533914	0.00570558546305551	0.000183609674720094	9.29430129640542E-05	0.00479760214283419	0.0049888287150204	0.0132913597484178	0.424044526777906
WT	2020-03-15	83430.8813287973	0.00107163188409754	0.173375181792208	0.0303270432577379	0.0216555061955776	0.121392632338892	0.00506903847968992	0.000364379349819785	0.00538513222881744	0.00487329203258196	5.10791213456147E-05	6.94273001601922E-05	0.0049018971008639	0.0049018971008639	9.94564100921104E-05	6.94273001601922E-05	0.00477408643003033	0.00470465912987013	0.0110818609848676	0.307675436213403
WT	2020-03-22	193600.07040022	0.00275027987806003	0.192302559783109	0.0333486516029311	0.0214407278109988	0.13751318036918	0.00495088814715434	0.000283722160836266	0.00516716473096641	0.00485265980051723	0.000121675174912027	3.58849034361416E-05	0.00501163942730257	0.00493983367528436	0.000333442955702753	7.11458187745808E-05	0.00478249528801545	0.00482334698052217	0.0107756243756435	0.274118075901924
WT	2020-03-29	328735.947943655	0.00560065043018948	0.20348345630711	0.0339860158513485	0.0217164883067256	0.147780952149036	0.00483943139413413	0.000201138725093901	0.00506264706527421	0.00511138541145557	0.000342224999910571	9.41502647111429E-05	0.00508384050660849	0.00502657389929316	0.000257050934001073	0.000133134950813808	0.0048263014207841	0.00483236305179823	0.0108522306517351	0.252238740627351
WT	2020-04-05	445456.473347974	0.00946306955967307	0.226424552834805	0.0366342498041301	0.0220874866548484	0.167702816375826	0.00474006437571598	7.16673832832832E-05	0.00508878010663651	0.00504134520223211	0.000306267300700701	0.000198454980980981	0.00510306605308296	0.00510807889001989	0.000339961883883884	0.000100475617517517	0.00477397095969996	0.00504863025549576	0.0109585504371605	0.230829805318307
WT	2020-04-12	497361.811884669	0.0137755442714219	0.232947978758743	0.037642137221768	0.0232490264867681	0.172056815050207	0.00479186866881973	0.000117955059217483	0.00508336302001383	0.00507103766083159	0.000679727784631653	0.000868314392198331	0.00486758844017597	0.00477022920859331	0.000192801610856538	0.000133888224532957	0.00500889832444186	0.00526645474906882	0.0113425036840819	0.239211992990299
WT	2020-04-19	522636.96521079	0.0183071722373007	0.238123115497647	0.0368083515524229	0.023669936904461	0.177644827040763	0.00499948029423348	0.0002558392310479	0.00554107500349376	0.00588741116799128	0.00112862199624313	0.00110372968737421	0.00534378397290205	0.00511579245659989	0.000362181152287669	0.000154455177109889	0.00494132008827615	0.00522581579550813	0.01118271965772	0.255178286201793
WT	2020-04-26	529778.259420533	0.0229007202178504	0.248984824708283	0.0377839347127302	0.0253866722665835	0.18581421772897	0.00532654720066363	0.000450097475591344	0.00744929758898207	0.00748491514744541	0.00337758139808757	0.00275256430464687	0.00519495216640197	0.00525703708000707	0.000189613434490857	6.03866401610468E-05	0.00469127272389798	0.00590052833084313	0.010779312020974	0.342223866479147
WT	2020-05-03	555630.305582137	0.0277184235168321	0.255494355639207	0.041507191281232	0.0274150049044719	0.186572159453504	0.00501497029219785	0.000387563457503828	0.00897472327158867	0.00925263251622879	0.00442963956604134	0.00413847480111026	0.00549788244482757	0.00527658268621348	0.000391086499808576	0.000210088090543645	0.00490532490686095	0.00528809535938775	0.0112734949543913	0.334491419608338
WT	2020-05-10	579080.600300687	0.0327394572697012	0.255514011839587	0.0430592604338444	0.0266108856080266	0.185843865797715	0.00526784885897862	0.000729523486358754	0.00660411246138073	0.00686847336363637	0.00114483176627283	0.0012758386726101	0.00664321954645055	0.00664531645858803	0.000485490087218045	0.000211681062513427	0.00468287590473587	0.00468048261988088	0.0127746108494288	0.269634768359177
WT	2020-05-17	628509.119528619	0.0381890708494009	0.253041209440507	0.0422597252587548	0.0249951611314689	0.185786323050284	0.004956704559887	0.0001191591659841	0.00546628946626224	0.0056235890538315	0.00113820918525656	0.000486317951337027	0.00537027685074791	0.00551969602275465	0.000824744809202602	0.000139388550951578	0.00484404768082171	0.00544199385644204	0.0119555294182563	0.225420955021538
WT	2020-05-24	678548.655535577	0.0440725621986863	0.262597565428502	0.0457192831491405	0.0252048214541717	0.191673460825189	0.0057506790222134	0.000720310320400823	0.00628292188085117	0.00576687633999814	0.000585060235611512	0.00036686143422405	0.0057651882233486	0.00559873032355415	0.000487132810894143	0.000118734809352518	0.00493463895515277	0.00554525428865739	0.0119759850809119	0.320521782658528
WT	2020-05-31	756745.333333333	0.0506340734270367	0.26514672554475	0.0427943095211937	0.0253302998061496	0.197022116217407	0.00564110571077017	0.00132509224493301	0.00732256206526075	0.00631700296701272	0.00109264151734799	0.00073740002645139	0.00605501443695432	0.00559593323083959	0.000351391736860186	7.33480611473719E-05	0.0048434078426836	0.00504021834491651	0.0111194685680781	0.390074910746637
WT	2020-06-07	825116.373230769	0.0577884093828353	0.26831460060118	0.043693307930688	0.0236377844577712	0.200983508212721	0.00466894141241861	0.00018727936041859	0.00545668788735795	0.00584546053063281	0.000806384475530933	0.000818780116651278	0.00546139651216559	0.00523430654048199	0.000377989698368729	0	0.0045673074979834	0.00576798250167685	0.0108002494756309	0.208422839256589
WT	2020-06-14	925895.103258476	0.0658165674020525	0.272665963461112	0.0514644306762313	0.0246666130333613	0.196534919751519	0.00512143947538874	0.000503168118916538	0.00558524764790352	0.00575236925591938	0.000582346728253688	0.000411551532261616	0.00569161109846507	0.00530685772652057	0.000603690352345298	0.00017070793635763	0.00493664477025771	0.00515459736990537	0.0118459924121611	0.257838490139927
WT	2020-06-21	1030539.33333333	0.0747520640732224	0.270102813309178	0.0453424766349057	0.0254424268798769	0.199317909794395	0.00536082455908956	0.000371964487053487	0.00549407477857278	0.00522592838715339	5.55483623133623E-05	0.00028246861009261	0.0058488504982855	0.00576683562094662	0.00133803257947458	0.000389257038178037	0.00509391616804817	0.0054477863963604	0.0116697156981397	0.213430238005573
WT	2020-06-28	1172533	0.0849187451298766	0.268172766512684	0.0443339052802962	0.0283178465798749	0.195521014652513	0.0057117815674661	0.000740245202895372	0.00598021820529964	0.00584221490304038	0.000341650605834613	0.000436754525334504	0.00602932441126586	0.00561672602455825	0.000475777809168678	0.000234926410616363	0.00501248198839174	0.00558560437970563	0.0150320529562646	0.28759726514197
WT	2020-07-05	1304411.96189477	0.0962289090084784	0.28153565934141	0.044997429578415	0.0347134292139405	0.201824800549054	0.0051366949628537	0.000384227182756208	0.0054526405378981	0.00535921828553713	0.000240873835431969	0.00131805937268276	0.00541976511292433	0.00537183952740492	0.000164003472018188	0.000245881967820916	0.00494530782609259	0.00512328300814925	0.0222197660194147	0.251840247918983
WT	2020-07-12	1439765.35097568	0.108712681422382	0.293495014782362	0.0454928181107739	0.0470062378406407	0.200995958830947	0.00530681914916894	0.00044913658523641	0.00565295242477224	0.00546228486076452	0.000399584397555483	0.000294238117883563	0.00558761283229878	0.00553424101740653	0.000439112872145384	0.000232388197651978	0.00510248976914321	0.00479180915479776	0.0349752329627433	0.280723951886375
