VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	NTD	RBD	SpikeOther	Ep01	Ep02	Ep03	Ep04	Ep05	Ep06	Ep07	Ep08	Ep09	Ep10	Ep11	Ep12	RBDOther	PressureCorrelation
WT	2020-02-02	122	1.57313687408105E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WT	2020-02-09	244	3.68878750210056E-06	0.116593392697303	0.0458815463562438	0.0237271426925075	0.0469847036485514	0.00470465912987013	0	0.00481362593506494	0.00481362593506494	0	0	0.00481362593506494	0.00481362593506494	0	0	0.00470465912987013	0.00470465912987013	0.0142088576275724	0.249764032696987
WT	2020-02-16	580	8.71779309329449E-06	0.0846323127010989	0.0226450355404152	0.0105308602769231	0.0514564168837606	0	0	0	0	0	0	0	0	0	0	0	0	0.0105308602769231	0
WT	2020-02-23	2289	2.85650237799202E-05	0.0739079026164138	0.0340008301673945	0.000963250100436682	0.0389438223485826	0.000963250100436682	0.000963250100436682	0.000963250100436682	0	0	0	0	0	0	0	0	0	0	0.898139492310052
WT	2020-03-01	8594	0.000103081013522542	0.0845472224525936	0.0162892573762163	0.00271764584883754	0.0655403192275398	0.000963250100436682	0.000963250100436682	0.00205328418998892	0	0	0	0	0	0.000664361658848615	0	0	0	0	0.768791048954506
WT	2020-03-08	28273.0121640181	0.000348227800165198	0.104947924969993	0.0230418662505927	0.00661113069834764	0.075294928021053	0.00159005606069534	0.00159005606069534	0.002529561968786	0.00226395849440188	0	9.29430129640542E-05	0.00233872297760754	0.00220244578727165	0.000480751984128521	9.29430129640542E-05	9.29430129640542E-05	0.000284169585150264	0.00278608006010607	0.453991815426085
WT	2020-03-15	83430.8813287973	0.00107163188409754	0.0564635138690532	0.018174660301063	0.00692435863888392	0.0313644949291063	0.00132310313138016	0.00132310313138016	0.00304808976458574	0.00220429239688486	5.10791213456147E-05	0.000162370313124246	0.00230766194837246	0.00217138475803657	0.000283066084812204	0.000162370313124246	0.000162370313124246	0.000284169585150264	0.00290606874632954	0.455097187226859
WT	2020-03-22	193600.07040022	0.00275027987806003	0.0393485792056357	0.0098201402127339	0.00225458718441343	0.0272738518084884	0.000362981001617094	0.000325487858065034	0.000506772230368223	0.000209537006395213	0.000172754296257641	3.35423967240506E-05	0.000367551485979159	0.000295745733960944	0.000273431417978204	6.88033120624898E-05	0.00015047993853734	0.000193674137756158	0.000788014861256899	0.650786367336422
WT	2020-03-29	328735.947943655	0.00560065043018948	0.0307956913275708	0.00777102396862287	0.00253501904130916	0.0204896483176387	0.000382502480410695	0.000291982499924121	0.000649854548938415	0.000566962580302861	0.000253629107035081	0.000100464952663948	0.000544737089261818	0.00053975472742425	0.000342690234700985	0.000108710677368328	0.000249937457749986	0.000230500289661161	0.000719517555607507	0.380124137912739
WT	2020-04-05	445456.473347974	0.00946306955967307	0.047610374949367	0.0110775351682034	0.0025977299486757	0.0339351098324879	0.000264663878962364	0.000172912892361168	0.000287636148971006	0.000287189439997214	0.000282949764355287	0.000292605245692124	0.000289608580970561	0.000324018887680347	0.000313713366440631	7.13016859183097E-05	0.000248492022269256	0.000277913866906256	0.000966434284393927	0.0544419069601834
WT	2020-04-12	497361.811884669	0.0137755442714219	0.0404474944989762	0.0131495756210627	0.0040105701082111	0.0232873487697024	9.52458436542993E-05	8.97292264847504E-05	0.00035430399487136	0.0003265625252097	0.000511451858836912	0.000725872768374507	0.000463255989830965	0.00039231522374634	0.000392735743943379	0.000126266315924349	0.000337977773150309	0.000515844492394933	0.00148989142973135	0
WT	2020-04-19	522636.96521079	0.0183071722373007	0.0430237245102553	0.0112579986802796	0.00525208434926195	0.0265136414807136	0.00025666333199569	0.000248426918948136	0.00118067404300473	0.00131078776757153	0.000836311799012644	0.00145579569865373	0.00102709162988349	0.000756085234483694	0.000320709930003812	0.000161461215530755	0.000414017966865651	0.000344046897029301	0.00162894957565148	0.022535037010729
WT	2020-04-26	529778.259420533	0.0229007202178504	0.0443854694825708	0.0122356691016063	0.00627838748369851	0.025871412897266	0.000749606873062896	0.000373712317534186	0.00210046364874043	0.00228211241885341	0.00237103237439573	0.00212234273607083	0.000798833751831221	0.000632927149134161	0.000296737545007012	9.40685369488417E-05	0.000345587165753771	0.00125119362554214	0.00126646741293678	0.226819336350906
WT	2020-05-03	555630.305582137	0.0277184235168321	0.0535353397701273	0.0159226999029082	0.00733827920111833	0.0302743606661008	0.000632480965109801	0.00033232756688145	0.00245918753896421	0.00246484562647895	0.00264390306542054	0.00226454702624027	0.00106004888975312	0.000900834044744129	0.000325642892527918	0.000149701450382598	0.000387036832582826	0.00136026237969097	0.00158490794457022	0.187137255515151
WT	2020-05-10	579080.600300687	0.0327394572697012	0.0616421783791083	0.0210172228351142	0.0109786059677773	0.0296463495762168	0.000644166558232351	0.000540461332070852	0.00397058755447509	0.00392514330340056	0.00367304367536689	0.00351370856734673	0.00170328984245493	0.00165658756793351	0.000474516533795726	0.000175132048092214	0.000399174022187072	0.000826987967871207	0.00371286159416532	0.207162887194581
WT	2020-05-17	628509.119528619	0.0381890708494009	0.0656766583747941	0.0245687898515169	0.0103450586238211	0.0307628098994562	0.000909584341657685	0.000610364320374654	0.00161970758661578	0.00195347919523767	0.00150290462843594	0.00133533293329191	0.00197105271576412	0.00184142889207927	0.00089112799668347	0.000264352012405019	0.00049781630005271	0.00107690879746342	0.00430000232271886	0.0514340802795591
WT	2020-05-24	678548.655535577	0.0440725621986863	0.0610470603590481	0.0254708591251311	0.00728872269201146	0.0282874785419056	0.00102430696967403	0.000716273706091018	0.00163166889193945	0.00153694966833077	0.00068423277903868	0.000853179385561076	0.00140791817446087	0.00119419565754287	0.000588714161685058	0.000171405759244111	0.000282650775174224	0.000420673614794215	0.00300081469290836	0.449062820453684
WT	2020-05-31	756745.333333333	0.0506340734270367	0.0781286425401573	0.0266567830785603	0.00852774331603307	0.0429441161455641	0.000871004784883102	0.00140623277676808	0.00256651474506426	0.00191120759668151	0.00154485129304172	0.00110426146067544	0.001827539412758	0.00109447290654049	0.000315741425013849	0.00019208287049989	0.000368728538096097	0.000880856323962375	0.00273097871425765	0.474163968580444
WT	2020-06-07	825116.373230769	0.0577884093828353	0.0700862532280896	0.0237577369243153	0.00906490597403709	0.0372636103297372	0.00111924761998898	0.00128489620615185	0.0026868379771231	0.00163145365773926	0.00131188497734482	0.00112818162987697	0.00175744926206441	0.000972551046672396	0.000291513951079945	7.33480611473719E-05	0.000447391236666959	0.00166613704695608	0.00243491265248182	0.501620853366067
WT	2020-06-14	925895.103258476	0.0658165674020525	0.0725635838119603	0.0298475743598494	0.00818841855827155	0.0345275908938393	0.000599581384607559	0.000462972080135375	0.00127251010588259	0.000902315919500173	0.000462642766111489	0.000463385713548164	0.00081464675373562	0.000656983353474709	0.000455327386208308	0.00017070793635763	0.000418072756181174	0.00131867558414111	0.00419038478679117	0.239301527493232
WT	2020-06-21	1030539.33333333	0.0747520640732224	0.0645131092097504	0.0251932004788201	0.00725304411750442	0.0320668646134259	0.00078984920114856	0.000592036032380548	0.00124189024415449	0.00125344550655584	0.00063789509056705	0.000694020142354226	0.00127807246781492	0.00124781238016995	0.00082282740748603	0.000465925685392307	0.000527203389422257	0.000505580916347127	0.00280296562839079	0.190275229428533
WT	2020-06-28	1172533	0.0849187451298766	0.0688118416294945	0.0246538193671781	0.0130378659170861	0.0311201563452304	0.00123977735048935	0.000931573246176416	0.00125267784252031	0.00116201017792521	0.000397198968147976	0.000510814424030402	0.00133586672197339	0.00146928701528596	0.00129746569682487	0.000382055829062781	0.000454952276968024	0.000334184074443316	0.00867868895506758	0.333990124481658
WT	2020-07-05	1304411.96189477	0.0962289090084784	0.0715251066300579	0.0233572605177547	0.0155252960055199	0.0326425501067833	0.000773632075078174	0.000554563490604934	0.000841013953509815	0.000713397822114486	0.000492098769703099	0.0015405816652456	0.000963613281196916	0.000598940480008718	0.000439493577094526	0.000106191552274286	0.000184321271777989	0.000770722614998136	0.0110845238211052	0.165879594771074
WT	2020-07-12	1439765.35097568	0.108712681422382	0.0722336276732886	0.0234065575744064	0.0182059738113902	0.0306210962874919	0.00054314057659616	0.000321684132740126	0.000961898650483184	0.000693467006202642	0.000455498503849186	0.00153930029275352	0.000910982175947791	0.000736495436256663	0.000482834839235985	0.000277963629130346	0.000564881002370893	0.000537948048849874	0.0138978352399375	0
