"","V1","V2"
"WT_2020-02-02",-4.62574563318463,-0.694069991653954
"WT_2020-02-09",-4.6040673131183,-0.690558216903423
"WT_2020-02-16",-4.6213185466175,-0.683963336273637
"WT_2020-02-23",-4.60867885493698,-0.689600375002147
"WT_2020-03-01",-4.58007775627287,-0.683934271814434
"WT_2020-03-08",-4.536958551288,-0.685107405182451
"WT_2020-03-15",-4.51525341313451,-0.686566743373018
"WT_2020-03-22",-4.5046944674373,-0.681203127503803
"WT_2020-03-29",-4.50100454607432,-0.683009296756366
"WT_2020-04-05",-4.49853629482729,-0.682626913610857
"WT_2020-04-12",-4.49348818826697,-0.682849450796372
"WT_2020-04-19",-4.49183975664465,-0.685341153839617
"WT_2020-04-26",-4.49193841052427,-0.686837800748101
"WT_2020-05-03",-4.49626038034749,-0.692009082200276
"WT_2020-05-10",-4.4932591670396,-0.693090608482657
"WT_2020-05-17",-4.49410055947518,-0.701848400996277
"WT_2020-05-24",-4.49632235132483,-0.701042063967379
"WT_2020-05-31",-4.49650311423259,-0.708026248406794
"WT_2020-06-07",-4.49375415314857,-0.694629307930144
"WT_2020-06-14",-4.49399278278856,-0.690650300722877
"WT_2020-06-21",-4.49444693673903,-0.698634037828116
"WT_2020-06-28",-4.48310111030668,-0.696338806905846
"WT_2020-07-05",-4.47029293745783,-0.688978377393738
"WT_2020-07-12",-4.45455938129774,-0.689131037204146
"WT_2020-07-19",-4.4330790698861,-0.68629596698612
"WT_2020-07-26",-4.41849718948596,-0.680021987501341
"WT_2020-08-02",-4.42320326778061,-0.678754027004787
"WT_2020-08-09",-4.45226616754968,-0.697292144590233
"WT_2020-08-16",-4.47597868274079,-0.695326763278858
"WT_2020-08-23",-4.48638883961226,-0.694109073630022
"WT_2020-08-30",-4.49691374185228,-0.701179206042039
"WT_2020-09-06",-4.5023890140717,-0.700579311014746
"WT_2020-09-13",-4.52052708652195,-0.696930670215213
"WT_2020-09-20",-4.5362726598839,-0.697725148037132
"WT_2020-09-27",-4.55111880713996,-0.706703504526361
"WT_2020-10-04",-4.55190723375881,-0.707178633479881
"WT_2020-10-11",-4.56546118101046,-0.709135831395483
"WT_2020-10-18",-4.57378464296051,-0.713157630838633
"WT_2020-10-25",-4.57950255426717,-0.713918831068901
"WT_2020-11-01",-4.56684020597676,-0.714682234598779
"WT_2020-11-08",-4.58573945860011,-0.716388143972469
"WT_2020-11-15",-4.59080269516171,-0.719293868531955
"WT_2020-11-22",-4.57957649804433,-0.718107284226723
