Point	X	Y	VOC	RelativeDate
WT_2020-02-02	-4.625745633	-0.694069992	WT	0
WT_2020-02-09	-4.604067313	-0.690558217	WT	7
WT_2020-02-16	-4.621318547	-0.683963336	WT	14
WT_2020-02-23	-4.608678855	-0.689600375	WT	21
WT_2020-03-01	-4.580077756	-0.683934272	WT	28
WT_2020-03-08	-4.536958551	-0.685107405	WT	35
WT_2020-03-15	-4.515253413	-0.686566743	WT	42
WT_2020-03-22	-4.504694467	-0.681203128	WT	49
WT_2020-03-29	-4.501004546	-0.683009297	WT	56
WT_2020-04-05	-4.498536295	-0.682626914	WT	63
WT_2020-04-12	-4.493488188	-0.682849451	WT	70
WT_2020-04-19	-4.491839757	-0.685341154	WT	77
WT_2020-04-26	-4.491938411	-0.686837801	WT	84
WT_2020-05-03	-4.49626038	-0.692009082	WT	91
WT_2020-05-10	-4.493259167	-0.693090608	WT	98
WT_2020-05-17	-4.494100559	-0.701848401	WT	105
WT_2020-05-24	-4.496322351	-0.701042064	WT	112
WT_2020-05-31	-4.496503114	-0.708026248	WT	119
WT_2020-06-07	-4.493754153	-0.694629308	WT	126
WT_2020-06-14	-4.493992783	-0.690650301	WT	133
WT_2020-06-21	-4.494446937	-0.698634038	WT	140
WT_2020-06-28	-4.48310111	-0.696338807	WT	147
WT_2020-07-05	-4.470292937	-0.688978377	WT	154
WT_2020-07-12	-4.454559381	-0.689131037	WT	161
WT_2020-07-19	-4.43307907	-0.686295967	WT	168
WT_2020-07-26	-4.418497189	-0.680021988	WT	175
WT_2020-08-02	-4.423203268	-0.678754027	WT	182
WT_2020-08-09	-4.452266168	-0.697292145	WT	189
WT_2020-08-16	-4.475978683	-0.695326763	WT	196
WT_2020-08-23	-4.48638884	-0.694109074	WT	203
WT_2020-08-30	-4.496913742	-0.701179206	WT	210
WT_2020-09-06	-4.502389014	-0.700579311	WT	217
WT_2020-09-13	-4.520527087	-0.69693067	WT	224
WT_2020-09-20	-4.53627266	-0.697725148	WT	231
WT_2020-09-27	-4.551118807	-0.706703505	WT	238
WT_2020-10-04	-4.551907234	-0.707178633	WT	245
WT_2020-10-11	-4.565461181	-0.709135831	WT	252
WT_2020-10-18	-4.573784643	-0.713157631	WT	259
WT_2020-10-25	-4.579502554	-0.713918831	WT	266
WT_2020-11-01	-4.566840206	-0.714682235	WT	273
WT_2020-11-08	-4.585739459	-0.716388144	WT	280
WT_2020-11-15	-4.590802695	-0.719293869	WT	287
WT_2020-11-22	-4.579576498	-0.718107284	WT	294
