VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	SpikeCellEntryT1	RBDACE2bindingT1	EscapeScoreT1	AntigenicDistanceTn-1	SpikeCellEntryTn-1	RBDACE2bindingTn-1	EscapeScoreTn-1
Alpha	2020-11-15	126097.254554691	0.00308410976872742	0	0	0	0	0	0	0	0
Alpha	2020-11-22	131953.786738729	0.00521563573853508	0.0322353836260651	0.00540415775752974	-0.00422385040582395	-5.86152612165027E-07	0.0322353836260651	0.00540415775752974	-0.00422385040582395	-5.86152612165027E-07
Alpha	2020-11-29	163093.708112094	0.00785018290042511	0.0422795392408166	0.0114511115179577	5.73446450403802E-05	8.23388079047443E-05	0.0289620859240449	0.00604695376042796	0.00428119505086433	8.29249605169093E-05
Alpha	2020-12-06	129480.350865601	0.00994175402749176	0.0490268851348063	0.0327317080685263	-0.00238150852278835	1.75328258220067E-05	0.0357001562981079	0.0212805965505686	-0.00243885316782873	-6.48059820827376E-05
Alpha	2020-12-13	406447.478690471	0.016507335642114	0.0525354972740617	0.0393795279325752	-0.00041769021156778	8.66559310271218E-05	0.0422358939901133	0.00664781986404894	0.00196381831122057	6.91231052051151E-05
Alpha	2020-12-20	756443.204935622	0.0287266010065659	0.057564413998516	0.0373414602119373	-0.000311056129940626	0.000459606418330046	0.0346805921563465	-0.00203806772063791	0.000106634081627154	0.000372950487302924
Alpha	2020-12-27	705069.24252196	0.0401159929906239	0.0618256633728143	0.0230693756424659	-0.00230742702126251	0.000271669238350423	0.0393743211485365	-0.0142720845694714	-0.00199637089132188	-0.000187937179979623
Alpha	2021-01-03	972971.396736667	0.0558329636913635	0.0699703263656875	0.0384053175996906	-0.00390487606217975	0.000308829283654994	0.0398851187126184	0.0153359419572247	-0.00159744904091724	3.71600453045714E-05
Alpha	2021-01-10	1062556.56109994	0.0729970554567519	0.0690247998900944	0.0221072433980231	-0.00335642514000616	0.000458634511272951	0.0425770493771247	-0.0162980742016676	0.000548450922173587	0.000149805227617957
Alpha	2021-01-17	1309693.4211734	0.0941532921113684	0.0800951203753747	-0.0103268391951314	-0.00233259239631329	0.000578308586297468	0.0427606475925745	-0.0324340825931545	0.00102383274369287	0.000119674075024516
Alpha	2021-01-24	1388023.74711419	0.116574843904662	0.085357349775132	-0.00809990978132913	-0.00464100686937245	0.000341663903889266	0.0360576262275896	0.00222692941380229	-0.00230841447305916	-0.000236644682408201
Alpha	2021-01-31	1718020.11803776	0.144327018273863	0.0799945045328325	0.0200473863322344	-0.0046260628391545	0.000480164251058488	0.0440778720482626	0.0281472961135635	1.49440302179418E-05	0.000138500347169221
Alpha	2021-02-07	1362578.41438773	0.166337536864871	0.0858012775056187	0.0423617414002894	-0.00737534367048157	0.000486708321769551	0.0437314938740744	0.022314355068055	-0.00274928083132706	6.54407071106354E-06
Alpha	2021-02-14	1349100.53735958	0.188130339499306	0.0837272666761152	0.0352988503651623	-0.00495563165133899	0.000276566037803612	0.0382907293449849	-0.00706289103512713	0.00241971201914258	-0.000210142283965939
Alpha	2021-02-21	1462569.65913504	0.211756074600579	0.0914938661146056	0.0307487598636772	-0.00486107762129011	0.00029500676550417	0.0390997233255909	-0.00455009050148509	9.45540300488764E-05	1.84407277005582E-05
Alpha	2021-02-28	1562511.61537436	0.23699623002629	0.0993559015535903	0.0166339238814523	-0.00710565541289528	0.000532493073281249	0.038299186388297	-0.0141148359822248	-0.00224457779160516	0.000237486307777079
Alpha	2021-03-07	1780565.98256153	0.26575874398355	0.107825179861526	0.0322582793134581	-0.00415278897959899	0.000457903457398966	0.0421282643470922	0.0156243554320057	0.00295286643329629	-7.45896158822834E-05
Alpha	2021-03-14	2094066.4486692	0.299585412608674	0.104304297430211	0.0210358627909868	-0.00565089557444088	0.000841631880661215	0.0392032271379818	-0.0112224165224713	-0.00149810659484189	0.000383728423262249
Alpha	2021-03-21	2470338.7217702	0.339490225269342	0.114488810425844	0.0369034346507685	-0.00536682261537166	0.00126776075389147	0.0375316443934518	0.0158675718597818	0.000284072959069221	0.000426128873230255
Alpha	2021-03-28	2811686.60525052	0.38490902806519	0.117472853021606	0.0272576488282286	-0.0066251375926474	0.00126616619389466	0.0353032633785733	-0.00964578582253985	-0.00125831497727573	-1.59455999681048E-06
Alpha	2021-04-04	3063705.30493226	0.434398834933946	0.124159547945588	0.0295593662206657	-0.00490490670985451	0.00105253145195927	0.0355671235877959	0.00230171739243706	0.00172023088279288	-0.000213634741935388
Alpha	2021-04-11	3422647.28878239	0.48968683963499	0.130733986016016	0.0376167380204193	-0.00717802771320883	0.00113604847439933	0.0381872840506266	0.00805737179975363	-0.00227312100335431	8.35170224400561E-05
Alpha	2021-04-18	3964621.50186109	0.553729667813975	0.136928138893678	0.0340162323113647	-0.00956630817069565	0.00143815240032538	0.0347281569526364	-0.00360050570905464	-0.00238828045748682	0.000302103925926057
Alpha	2021-04-25	4296900.21208928	0.623139986518016	0.138142331120094	0.0323936346638572	-0.0105693394315157	0.00148951045971763	0.0344471290462993	-0.00162259764750744	-0.00100303126082004	5.13580593922493E-05
Alpha	2021-05-02	4334293.56211388	0.693154341670314	0.140261571835995	0.0353057742513291	-0.00696053732190157	0.00183488134202558	0.0343918937201328	0.00291213958747178	0.00360880210961412	0.000345370882307949
Alpha	2021-05-09	4046168.81582637	0.758514450859424	0.143961494547914	0.0314258222025321	-0.00750912730495813	0.00216069073246714	0.0358149477262504	-0.00387995204879693	-0.000548589983056558	0.000325809390441557
Alpha	2021-05-16	3681793.5304294	0.817988594948361	0.149101340561776	0.0248322433725081	-0.00675959225640969	0.00254204226003888	0.0415997353850886	-0.00659357883002399	0.00074953504854844	0.000381351527571735
Alpha	2021-05-23	2960306.31649416	0.865808138048605	0.156363690991854	0.0244774408200899	-0.00994994826414339	0.00340176217120562	0.0456697943799669	-0.000354802552418211	-0.0031903560077337	0.000859719911166751
Alpha	2021-05-30	2196052.62920586	0.901282248537643	0.165824103385347	0.0254976021860135	-0.0137454777492707	0.00329635626768586	0.0494702585500029	0.00102016136592361	-0.0037955294851273	-0.000105405903519772
Alpha	2021-06-06	1562650.21719441	0.926524642878857	0.167684933483141	0.0310665039712759	-0.016365042175649	0.00353192668487643	0.0544909622843396	0.00556890178526235	-0.00261956442637832	0.000235570417190578
Alpha	2021-06-13	1225371.03842748	0.94631877122949	0.172411465262733	0.024727731921012	-0.0166727138212349	0.00395157529346113	0.0644316462895598	-0.00633877205026386	-0.000307671645585882	0.000419648608584699
Alpha	2021-06-20	976889.971418673	0.962099040937448	0.17643707533257	0.0278840180819209	-0.0128726427917099	0.00339039609572248	0.0677477320190684	0.0031562861609089	0.00380007102952499	-0.000561179197738647
Alpha	2021-06-27	638477.48014761	0.972412737601316	0.181435220986694	0.0230386514554917	-0.0151485932365939	0.00527941921468495	0.0709301081007448	-0.00484536662642924	-0.00227595044488396	0.00188902311896247
Alpha	2021-07-04	443679.134751109	0.97957974372791	0.190824687707557	0.0146937354795227	-0.0130459820304442	0.00481222138799453	0.0805916245503421	-0.00834491597596897	0.00210261120614964	-0.000467197826690418
Alpha	2021-07-11	364454.658787134	0.985466990992442	0.190744491421102	-0.000122453037976621	-0.015413691353002	0.00468001181962468	0.0827664362913444	-0.0148161885174993	-0.00236770932255774	-0.000132209568369849
Alpha	2021-07-18	286378.846734378	0.990093034428592	0.186779313378429	0.00453712777109178	-0.0130355638945052	0.00723474758582319	0.0799511646819014	0.00465958080906842	0.00237812745849681	0.0025547357661985
Alpha	2021-07-25	193334.515783646	0.993216078878003	0.174383753111831	0.0199573059725816	-0.0193564346050082	0.00807069326906803	0.0857048456341674	0.0154201782014899	-0.00632087071050302	0.00083594568324484
