VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	SpikeCellEntryT1	RBDACE2bindingT1	EscapeScoreT1	AntigenicDistanceTn-1	SpikeCellEntryTn-1	RBDACE2bindingTn-1	EscapeScoreTn-1
Delta	2021-03-14	21048.7954558668	0.000708762438849284	0	0	0	0	0	0	0	0
Delta	2021-03-21	6011.08354596954	0.000765023119240297	0.527779975380221	-0.0491411021994564	0.000228932174069327	-0.00142600155750264	0.527779975380221	-0.0491411021994564	0.000228932174069327	-0.00142600155750264
Delta	2021-03-28	5302.40828354998	0.000814650960121578	0.468801701664642	-0.0699761606621744	0.00587202207247838	-0.000558394394094551	0.212869829826624	-0.020835058462718	0.00564308989840905	0.000867607163408091
Delta	2021-04-04	12625.6769240043	0.000932820865548674	0.501145572088237	-0.0855118968747287	0.00255244972146748	0.00162493571424672	0.170848840347041	-0.0155357362125543	-0.0033195723510109	0.00218333010834128
Delta	2021-04-11	37093.8020056798	0.00127999995949561	0.50247013055552	-0.089303678670252	0.00316893675790953	6.86773346184246E-05	0.143144763039363	-0.00379178179552325	0.000616487036442053	-0.0015562583796283
Delta	2021-04-18	68926.9387121566	0.00192512099958093	0.486929510071754	-0.0651940560562478	0.0039967519125437	0.000915341481583849	0.152828103357112	0.0241096226140041	0.000827815154634168	0.000846664146965424
Delta	2021-04-25	133578.723164203	0.0031753498133228	0.510721789576059	-0.0611824111905668	0.00232319862595168	0.000143969344400618	0.150855121041872	0.00401164486568115	-0.00167355328659202	-0.000771372137183231
Delta	2021-05-02	176312.975686262	0.00482554946501859	0.510696059257374	-0.0353711281157837	-0.000439818768654219	0.000789271806025263	0.131787482073476	0.0258112830747831	-0.00276301739460589	0.000645302461624646
Delta	2021-05-09	293539.79978192	0.00757293248361691	0.51125058697423	-0.0172897941117077	-0.00357309018727506	0.00104434203553105	0.125082240352222	0.018081334004076	-0.00313327141862084	0.000255070229505783
Delta	2021-05-16	323120.052087751	0.0105971715978155	0.459245440419034	0.0183352951758845	0.00184090031486331	0.000544736306777534	0.146387562367336	0.0356250892875922	0.00541399050213837	-0.000499605728753512
Delta	2021-05-23	514049.700682669	0.0154084149774878	0.465039616198492	0.064846422618973	-0.00032763120912723	4.07477219415374E-05	0.133915086145627	0.0465111274430884	-0.00216853152399054	-0.000503988584835996
Delta	2021-05-30	827475.412699182	0.0231531633858684	0.489007608733751	0.0909336152160048	0.000311516334190772	0.00020937443260332	0.083595019370418	0.0260871925970317	0.000639147543318003	0.000168626710661783
Delta	2021-06-06	987146.47556157	0.032392351618067	0.484664836147806	0.0701835517892096	-0.00100190551846191	0.000728622347864163	0.0553363640740082	-0.0207500634267952	-0.00131342185265268	0.000519247915260843
Delta	2021-06-13	1035260.57570391	0.0420818633218507	0.475007181127385	0.0332649013307127	-0.00708935834947903	0.000823134215771893	0.0672836161890545	-0.0369186504584968	-0.00608745283101712	9.4511867907729E-05
Delta	2021-06-20	1144983.25827126	0.0527983234498841	0.476839089476941	0.017328307422932	6.2723412115881E-05	0.00126131867146892	0.0891458406838034	-0.0159365939077808	0.00715208176159492	0.000438184455697031
Delta	2021-06-27	1628634.42662523	0.0680415121777466	0.471433623334956	-0.0250452130084427	-0.000243368620986361	0.0010929706325163	0.0867588802779967	-0.0423735204313745	-0.000306092033102244	-0.000168348038952626
Delta	2021-07-04	2094704.12909716	0.0876468759394746	0.473525099566043	-0.00893165046649442	0.000512542657311561	0.000571042270671437	0.0549968613803011	0.0161135625419481	0.000755911278297924	-0.000521928361844861
Delta	2021-07-11	2559222.05251259	0.11159989087346	0.472384969641993	0.0224075685505756	0.000196979503373201	0.000580755616661001	0.073111430988222	0.0313392190170701	-0.000315563153938362	9.71334598956428E-06
Delta	2021-07-18	2920462.27757633	0.138933930325116	0.463613558246499	0.0141290230732783	0.000245077471872341	0.000489578493545425	0.0778406074292324	-0.0082785454772973	4.80979684991405E-05	-9.1177123115576E-05
Delta	2021-07-25	3441473.15669163	0.171144366241067	0.449690815090543	0.0205767544891221	5.77109716922487E-05	0.000394910536271523	0.0466532189768702	0.0064477314158438	-0.000187366500180092	-9.46679572739019E-05
Delta	2021-08-01	3814691.2700381	0.206847933608368	0.449039123316016	0.0264763528539073	-0.00059547218951359	0.000293009535122112	0.0484693907544396	0.00589959836478516	-0.000653183161205839	-0.000101901001149411
Delta	2021-08-08	3973552.09860117	0.244038357419119	0.444442636391517	0.0205493756097989	0.00247848564526935	0.000114808113608172	0.0431202741115482	-0.00592697724410849	0.00307395783478293	-0.00017820142151394
Delta	2021-08-15	4243261.45605792	0.283753123445761	0.468518032715947	0.0353171776953066	-0.00136635944310085	0.000143069023800048	0.0809981515180728	0.0147678020855077	-0.0038448450883702	2.82609101918764E-05
Delta	2021-08-22	4300086.09549485	0.323999739155284	0.477857327781584	0.0248633740143708	-0.000534580815542754	-1.53163470195453E-05	0.0478600561680922	-0.0104538036809357	0.000831778627558098	-0.000158385370819594
