VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	SpikeCellEntryT1	RBDACE2bindingT1	EscapeScoreT1	AntigenicDistanceTn-1	SpikeCellEntryTn-1	RBDACE2bindingTn-1	EscapeScoreTn-1
WT	2020-02-02	122	1.57313687408105E-06	0	0	0	0	0.007183442	0	0	0
WT	2020-02-09	244	3.68878750210056E-06	0.116593392697303	-0.00601858141858143	-0.0486293706293707	-0.00142224281638362	0.116593392697303	-0.00601858141858143	-0.0486293706293707	-0.00142224281638362
WT	2020-02-16	580	8.71779309329449E-06	0.103121549851371	0.0475649350649351	0.000909090909090911	-0.00146056607792208	0.0846323127010989	0.0535835164835166	0.0495384615384616	-3.83232615384616E-05
WT	2020-02-23	2289	2.85650237799202E-05	0.0824070675372314	0.0498209550275053	-0.00140531957125844	-0.00135287874167754	0.0739079026164138	0.00225601996257016	-0.00231441048034935	0.000107687336244542
WT	2020-03-01	8594	0.000103081013522542	0.120457329957162	0.00946450862570266	0.00218840860631906	-0.00141963449156813	0.0845472224525936	-0.0403564464018026	0.00359372817757749	-6.6755749890597E-05
WT	2020-03-08	28273.0121640181	0.000348227800165198	0.179169083027221	0.0394925468167661	-0.00248513419403225	-0.000711915055529623	0.104947924969993	0.0300280381910634	-0.00467354280035131	0.000707719436038512
WT	2020-03-15	83430.8813287973	0.00107163188409754	0.173375181792208	0.0336506693746782	-0.00259711653984781	-0.00140896025613594	0.0564635138690532	-0.00584187744208787	-0.000111982345815564	-0.000697045200606313
WT	2020-03-22	193600.07040022	0.00275027987806003	0.192302559783109	0.0335893990919038	-0.000811049848516212	-0.00134390201427066	0.0393485792056357	-6.12702827744541E-05	0.0017860666913316	6.50582418652746E-05
WT	2020-03-29	328735.947943655	0.00560065043018948	0.20348345630711	0.0267322537148061	-0.00169509438870913	-0.00134923120696876	0.0307956913275708	-0.00685714537709768	-0.000884044540192915	-5.32919269810005E-06
WT	2020-04-05	445456.473347974	0.00946306955967307	0.226424552834805	0.0160962949962951	-0.000637455637455634	-0.00137690179073489	0.047610374949367	-0.010635958718511	0.00105763875125349	-2.76705837661307E-05
WT	2020-04-12	497361.811884669	0.0137755442714219	0.232947978758743	0.0193964724031697	-0.00114589675393341	-0.00133165535098047	0.0404474944989762	0.0033001774068746	-0.000508441116477776	4.52464397544179E-05
WT	2020-04-19	522636.96521079	0.0183071722373007	0.238123115497647	0.0195040372481404	-0.00371186709439762	-0.00104071479615635	0.0430237245102553	0.000107564844970695	-0.00256597034046421	0.000290940554824127
WT	2020-04-26	529778.259420533	0.0229007202178504	0.248984824708283	0.0264907768460361	-0.0071717680071983	-0.000553106779649977	0.0443854694825708	0.0069867395978957	-0.00345990091280069	0.00048760801650637
WT	2020-05-03	555630.305582137	0.0277184235168321	0.255494355639207	0.0144373453690262	-0.0163076012808019	-0.000289345931865419	0.0535353397701273	-0.01205343147701	-0.00913583327360358	0.000263760847784558
WT	2020-05-10	579080.600300687	0.0327394572697012	0.255514011839587	0.0276109930670833	-0.00671711746899718	-0.000832319546450543	0.0616421783791083	0.0131736476980572	0.00959048381180471	-0.000542973614585125
WT	2020-05-17	628509.119528619	0.0381890708494009	0.253041209440507	0.0167794857756072	-0.00141083200105123	-0.00109638944265347	0.0656766583747941	-0.0108315072914761	0.00530628546794595	-0.000264069896202926
WT	2020-05-24	678548.655535577	0.0440725621986863	0.262597565428502	0.0142587428758292	0.000140848360272817	-0.000871685674530506	0.0610470603590481	-0.00252074289977798	0.00155168036132405	0.000224703768122963
WT	2020-05-31	756745.333333333	0.0506340734270367	0.26514672554475	0.0313571419648713	-0.00364604478311108	-0.000784548546833107	0.0781286425401573	0.0170983990890421	-0.00378689314338389	8.71371276973988E-05
